KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
11127,122400,34192,0.857,29308,39.000,12,2013,12,Medio
11127,122400,34192,0.828,28297,3.462,12,2014,1,Medio
10200,81600,22795,0.800,18236,1.680,8,2014,2,Medio
10200,71400,19945,0.778,15513,0.562,7,2014,3,Medio
17000,51000,14247,0.526,7498,1.333,5,2014,4,Mucho
14280,71400,19945,2.000,39891,1.050,7,2014,5,Mucho
0,0,0,0.000,0,0.000,0,2014,6,Nada
10200,91800,30273,0.947,28679,3.500,9,2014,7,Medio
12240,61200,20182,3.000,60545,0.938,6,2014,8,Mucho
11127,122400,40364,0.000,0,-0.200,12,2014,9,Mucho
10200,10200,3364,2.000,6727,0.111,1,2014,10,Mucho
10200,91800,24514,3.600,88251,0.000,9,2014,11,Mucho
10200,40800,10575,1.600,16921,0.682,4,2014,12,Medio
13600,40800,10575,0.800,8460,0.000,4,2015,1,Medio
10200,20400,5288,0.222,1175,1.765,2,2015,2,Nada
10200,51000,13219,0.588,7776,2.400,5,2015,3,Nada
10200,40800,10575,0.571,6043,2.455,4,2015,4,Nada
11900,71400,18507,0.824,15241,1.364,7,2015,5,Mucho
10200,30600,7931,0.286,2266,2.250,3,2015,6,Nada
10200,20400,5288,0.308,1627,1.929,2,2015,7,Nada
10200,20400,5288,0.667,3525,1.000,2,2015,8,Mucho
10200,20400,5288,2.000,10575,0.857,2,2015,9,Medio
10200,51000,7900,1.111,8778,0.000,5,2015,10,Mucho
11475,91800,14220,2.000,28440,3.000,9,2015,11,Medio
11333,102000,15800,5.000,79000,0.000,10,2015,12,Mucho
12750,51000,7900,2.500,19750,0.500,5,2016,1,Mucho
12091,133000,12320,0.000,0,0.000,14,2016,2,Mucho
12667,38000,3520,0.800,2816,0.000,4,2016,3,Medio
9500,57000,5280,0.857,4526,1.304,6,2016,4,Mucho
9500,19000,1760,0.667,1173,0.500,2,2016,5,Medio
9500,9500,880,0.667,587,0.500,1,2016,6,Medio
7125,28500,15570,0.500,7785,0.333,3,2016,7,Medio
17417,104500,57090,2.000,114180,5.500,11,2016,8,Medio
0,0,0,0.000,0,0.000,0,2016,9,Nada
