KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
1.000,9500,33.835,0.182,584,3.600,1,2013,12,23,Nada
0.000,0,0.000,0.000,0,2.500,0,2013,12,24,Nada
1.000,28500,33.835,0.857,8265,3.750,3,2014,1,1,Nada
1.000,9500,33.835,0.154,495,1.500,1,2014,1,2,Poco
1.000,9500,33.835,0.095,306,8.250,1,2014,2,3,Nada
0.000,0,0.000,0.000,0,6.000,0,2014,2,4,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,3,5,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,3,6,Nada
1.000,9500,33.835,0.105,338,1.513,1,2014,4,7,Poco
0.000,0,0.000,0.000,0,1.513,0,2014,4,8,Nada
1.000,19000,33.835,0.250,1607,1.513,2,2014,5,9,Poco
1.000,9500,33.835,0.154,495,1.513,1,2014,5,10,Poco
0.000,0,0.000,0.000,0,1.513,0,2014,6,11,Nada
1.000,19000,30.326,0.200,1152,1.513,2,2014,6,12,Poco
0.000,0,0.000,0.000,0,1.513,0,2014,7,13,Nada
1.000,19000,30.326,0.154,886,1.513,2,2014,7,14,Poco
1.000,19000,30.326,0.182,1048,9.000,2,2014,8,15,Nada
1.000,9500,30.326,0.105,303,7.500,1,2014,8,16,Nada
0.000,0,0.000,0.000,0,5.400,0,2014,9,17,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,9,18,Nada
1.000,9500,30.326,0.118,339,1.513,1,2014,10,19,Poco
0.667,19000,30.326,0.286,1646,1.513,2,2014,10,20,Poco
1.000,19000,30.326,0.400,2305,1.513,2,2014,11,21,Poco
0.000,0,0.000,0.000,0,2.400,0,2014,11,22,Nada
2.000,19000,30.326,0.667,3841,3.000,2,2014,12,23,Nada
1.000,19000,30.326,2.000,11524,1.500,2,2014,12,24,Poco
0.000,0,0.000,0.000,0,0.000,0,2015,1,1,Nada
1.000,9500,30.326,0.105,303,7.500,1,2015,1,2,Nada
0.000,0,0.000,0.000,0,1.513,0,2015,2,3,Nada
1.000,9500,30.326,0.074,213,1.513,1,2015,2,4,Poco
1.000,9500,30.326,0.057,165,1.513,1,2015,3,5,Poco
1.000,19000,30.326,0.125,720,1.513,2,2015,3,6,Poco
1.000,9500,30.326,0.069,199,11.250,1,2015,4,7,Nada
1.000,9500,30.326,0.074,213,10.500,1,2015,4,8,Nada
2.000,19000,30.326,0.167,960,9.750,2,2015,5,9,Nada
1.400,66500,30.326,0.933,18822,8.250,7,2015,5,10,Poco
1.000,28500,27.820,0.400,3171,1.200,3,2015,6,11,Poco
1.333,38000,27.820,0.444,4698,2.750,4,2015,6,12,Poco
1.000,28500,27.820,0.545,4325,1.500,3,2015,7,13,Poco
1.000,19000,27.820,0.667,3524,1.200,2,2015,7,14,Poco
1.000,28500,27.820,1.500,11893,0.667,3,2015,8,15,Medio
1.000,9500,27.820,0.167,440,0.750,1,2015,8,16,Medio
1.000,28500,27.820,0.353,2798,5.000,3,2015,9,17,Nada
0.000,0,0.000,0.000,0,3.000,0,2015,9,18,Nada
1.000,9500,27.820,0.154,407,5.250,1,2015,10,19,Nada
1.000,9500,27.820,0.182,481,4.500,1,2015,10,20,Nada
0.000,0,0.000,0.000,0,1.513,0,2015,11,21,Nada
1.000,9500,27.820,0.069,182,1.513,1,2015,11,22,Poco
1.000,9500,27.820,0.043,112,1.513,1,2015,12,23,Poco
1.000,28500,27.820,0.113,898,1.513,3,2015,12,24,Poco
1.000,9500,27.820,0.034,90,18.000,1,2016,1,1,Nada
0.000,0,0.000,0.000,0,17.400,0,2016,1,2,Nada
1.000,19000,27.820,0.071,378,21.750,2,2016,2,3,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,2,4,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,3,5,Nada
1.000,38000,27.820,0.160,1691,1.513,4,2016,3,6,Poco
1.000,19000,27.820,0.091,481,17.250,2,2016,4,7,Nada
0.000,0,0.000,0.000,0,10.500,0,2016,4,8,Nada
0.000,0,0.000,0.000,0,10.500,0,2016,5,9,Nada
1.000,19000,27.820,0.100,529,1.513,2,2016,5,10,Poco
1.333,38000,27.820,0.235,2487,1.513,4,2016,6,11,Poco
1.000,9500,27.820,0.069,182,7.500,1,2016,6,12,Nada
1.333,38000,27.820,0.333,3524,6.000,4,2016,7,13,Nada
0.000,0,0.000,0.000,0,3.333,0,2016,7,14,Nada
1.000,47500,27.820,0.667,8810,6.000,5,2016,8,15,Nada
0.000,0,0.000,0.000,0,1.667,0,2016,8,16,Nada
1.750,66500,27.820,0.609,11261,9.000,7,2016,9,17,Poco
0.000,0,0.000,0.000,0,2.000,0,2016,9,18,Nada
