KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
1.103,304000,29.666,2.909,262354,0.886,32,2013,12,23,Medio
1.052,579500,29.666,13.556,2330361,0.355,61,2013,12,24,Medio
0.971,323000,29.666,1.360,130315,0.358,34,2014,1,2,Medio
1.000,418000,29.666,1.048,129907,0.750,44,2014,2,3,Medio
1.000,142500,29.666,0.353,14920,1.261,15,2014,2,4,Poco
1.000,171000,29.666,0.474,24029,1.129,18,2014,3,5,Poco
1.063,337000,32.588,1.417,155579,1.597,34,2014,3,6,Poco
1.045,230000,33.183,0.780,59504,0.313,23,2014,4,7,Medio
1.000,150000,33.183,0.337,16778,2.080,15,2014,4,8,Poco
0.964,270000,33.183,1.149,102936,1.542,27,2014,5,9,Poco
1.038,270000,30.463,1.019,83801,0.462,27,2014,5,10,Medio
1.045,230000,29.318,0.730,49235,1.870,23,2014,6,11,Poco
1.000,163000,26.282,1.478,63328,0.779,17,2014,6,12,Poco
1.000,28500,25.597,2.000,14591,0.134,3,2014,7,13,Poco
1.100,104500,25.597,1.692,45268,0.000,11,2014,7,14,Medio
1.000,218500,25.597,1.070,59832,1.258,23,2014,8,15,Poco
0.973,342000,25.597,1.500,131314,2.432,36,2014,8,16,Poco
1.000,266000,25.597,1.167,79437,0.771,28,2014,9,17,Medio
1.026,370500,25.598,1.279,121271,1.034,39,2014,9,18,Poco
1.034,570000,25.598,2.857,416876,0.903,60,2014,10,19,Medio
1.049,408500,25.597,4.300,449631,0.260,43,2014,10,20,Medio
1.000,389500,25.597,9.111,908395,0.190,41,2014,11,21,Medio
1.064,475000,25.597,2.000,243175,0.000,50,2014,11,22,Medio
1.068,598500,25.597,1.299,199002,1.119,63,2014,12,23,Poco
1.118,988000,25.597,1.908,482602,0.916,104,2014,12,24,Mucho
1.076,674500,25.597,1.257,216964,0.857,71,2015,1,1,Medio
1.016,589000,25.597,1.240,186952,0.643,62,2015,1,2,Medio
1.064,788500,25.597,3.018,609175,0.620,83,2015,2,3,Mucho
0.976,380000,25.597,2.500,243174,0.083,40,2015,2,4,Medio
1.046,646000,25.597,3.091,511108,0.422,68,2015,3,5,Mucho
0.978,418000,25.597,1.913,204690,0.283,44,2015,3,6,Medio
1.119,627000,25.597,1.610,258358,0.553,66,2015,4,7,Medio
1.061,494000,25.597,0.806,101945,0.910,52,2015,4,8,Medio
1.026,380000,25.597,0.606,58951,1.389,40,2015,5,9,Poco
1.026,380000,25.597,0.889,86462,1.082,40,2015,5,10,Poco
1.029,332500,25.597,0.886,75415,0.750,35,2015,6,11,Medio
1.068,446500,25.597,1.106,126393,1.200,47,2015,6,12,Poco
1.000,285000,25.597,0.938,68393,0.959,30,2015,7,13,Medio
1.067,456000,25.598,1.371,160081,0.670,48,2015,7,14,Medio
1.041,484500,25.597,1.030,127777,1.080,51,2015,8,15,Poco
1.028,351500,25.597,0.831,74810,1.256,37,2015,8,16,Poco
1.033,294500,25.597,1.051,79217,0.772,31,2015,9,17,Medio
1.053,380000,25.597,1.538,149645,0.605,40,2015,9,18,Medio
1.022,446500,23.348,1.918,199989,0.778,47,2015,10,19,Medio
1.039,503500,21.532,1.536,166545,0.534,53,2015,10,20,Medio
1.000,342000,21.532,0.818,60249,1.029,36,2015,11,21,Poco
1.000,408500,21.532,1.117,98237,0.882,43,2015,11,22,Medio
1.087,475000,21.532,2.273,232443,0.841,50,2015,12,23,Medio
1.123,779000,21.532,5.125,859621,0.163,82,2015,12,24,Mucho
1.045,665000,21.532,5.600,801834,0.429,70,2016,1,1,Mucho
1.000,598500,21.532,2.066,266183,0.166,63,2016,2,3,Medio
1.055,551000,21.532,1.398,165809,0.603,58,2016,2,4,Medio
0.977,399000,21.532,0.933,80183,0.486,42,2016,3,5,Poco
1.019,503500,21.532,1.116,120964,0.994,53,2016,3,6,Medio
1.115,551000,21.532,1.381,163835,0.804,58,2016,4,7,Medio
1.027,361000,21.532,0.854,66375,0.843,38,2016,4,8,Medio
1.000,522500,21.532,1.930,217110,0.926,55,2016,5,9,Medio
1.029,332500,21.532,2.414,172809,0.219,35,2016,5,10,Medio
1.000,275500,21.532,1.234,73203,0.422,29,2016,6,11,Medio
1.000,560500,21.532,2.878,347337,0.731,59,2016,6,12,Medio
1.020,494000,21.532,2.000,212732,0.293,52,2016,7,13,Medio
0.983,551000,21.532,1.871,221970,0.857,58,2016,7,14,Medio
1.063,323000,21.532,1.172,81538,0.391,34,2016,8,15,Medio
1.032,304000,21.532,0.889,58183,0.750,32,2016,8,16,Medio
1.122,437000,21.532,1.394,131160,0.871,46,2016,9,17,Medio
1.048,418000,21.532,1.354,121849,0.804,44,2016,9,18,Medio
