KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
1.000,35000,40.390,0.088,1251,4.375,5,2013,12,24,Nada
1.000,21000,40.390,0.039,333,11.143,3,2014,1,1,Nada
1.000,49000,40.390,0.098,1938,12.500,7,2014,1,2,Nada
1.000,14000,40.390,0.030,169,13.600,2,2014,2,3,Nada
1.000,35000,40.390,0.079,1113,16.500,5,2014,2,4,Nada
1.000,35000,40.390,0.085,1208,13.071,5,2014,3,5,Nada
1.333,28000,40.390,0.074,838,14.000,4,2014,3,6,Nada
1.000,35000,35.844,0.068,853,11.143,5,2014,4,7,Nada
0.000,0,0.000,0.000,0,20.357,0,2014,4,8,Nada
1.000,28000,35.844,0.043,432,31.667,4,2014,5,9,Nada
1.000,14000,35.844,0.022,112,30.333,2,2014,5,10,Nada
1.000,21000,35.844,0.034,258,44.500,3,2014,6,11,Nada
1.000,21000,35.844,0.036,267,28.667,3,2014,6,12,Nada
1.000,28000,35.844,0.049,496,31.125,4,2014,7,13,Nada
1.000,21000,35.844,0.039,291,23.700,3,2014,7,14,Nada
1.000,21000,35.844,0.040,303,22.800,3,2014,8,15,Nada
0.833,35000,35.844,0.071,890,21.900,5,2014,8,16,Nada
1.000,14000,35.844,0.030,150,18.545,2,2014,9,17,Nada
0.000,0,0.000,0.000,0,19.800,0,2014,9,18,Nada
1.000,7000,35.844,0.015,38,28.286,1,2014,10,19,Nada
1.000,56000,35.844,0.131,2632,1.513,8,2014,10,20,Poco
1.000,49000,35.844,0.131,2298,19.000,7,2014,11,21,Nada
1.000,49000,35.844,0.151,2644,9.375,7,2014,11,22,Nada
1.000,7000,35.844,0.011,28,5.864,1,2014,12,23,Nada
1.000,56000,35.844,0.060,1198,27.600,8,2014,12,24,Nada
1.000,28000,35.844,0.031,314,24.375,4,2015,1,1,Nada
1.000,21000,35.844,0.024,181,29.077,3,2015,1,2,Nada
1.000,28000,35.844,0.033,332,24.600,4,2015,2,3,Nada
1.000,42000,35.844,0.052,779,32.455,6,2015,2,4,Nada
1.000,56000,35.844,0.073,1473,26.077,8,2015,3,5,Nada
1.000,42000,35.844,0.059,886,17.500,6,2015,3,6,Nada
1.000,42000,35.844,0.063,941,14.850,6,2015,4,7,Nada
1.000,7000,35.844,0.011,27,13.950,1,2015,4,8,Nada
1.000,21000,35.844,0.033,250,21.231,3,2015,5,9,Nada
1.000,21000,35.844,0.034,258,26.700,3,2015,5,10,Nada
1.000,35000,35.844,0.060,751,36.857,5,2015,6,11,Nada
1.000,49000,35.844,0.047,822,22.091,7,2015,6,12,Nada
1.111,70000,38.373,0.047,1261,43.600,10,2015,7,13,Nada
1.000,14000,38.373,0.010,52,28.364,2,2015,7,14,Nada
1.000,21000,38.373,0.015,118,32.526,3,2015,8,15,Nada
1.000,49000,38.373,0.036,678,40.600,7,2015,8,16,Nada
1.000,98000,38.373,0.079,2958,46.250,14,2015,9,17,Nada
1.000,49000,38.373,0.042,786,21.375,7,2015,9,18,Nada
1.000,77000,38.373,0.069,2051,17.571,11,2015,10,19,Nada
1.000,84000,38.373,0.082,2631,14.344,12,2015,10,20,Nada
1.000,84000,38.373,0.089,2865,14.100,12,2015,11,21,Nada
1.000,63000,38.373,0.072,1748,11.057,9,2015,11,22,Nada
1.000,63000,38.373,0.078,1884,10.909,9,2015,12,23,Nada
0.923,84000,38.373,0.114,3684,11.100,12,2015,12,24,Nada
1.000,84000,38.373,0.129,4159,9.900,12,2016,1,1,Nada
1.000,98000,38.373,0.080,2991,7.909,14,2016,1,2,Nada
1.000,52000,41.929,0.027,584,20.921,7,2016,2,3,Nada
1.000,90000,42.482,0.048,1821,23.455,12,2016,2,4,Nada
1.000,97500,42.482,0.054,2253,22.364,13,2016,3,5,Nada
1.063,127500,42.482,0.076,4120,21.750,17,2016,3,6,Nada
1.000,90000,42.482,0.057,2195,15.357,12,2016,4,7,Nada
1.100,82500,42.482,0.056,1952,14.500,11,2016,4,8,Nada
1.000,67500,42.482,0.048,1376,14.400,9,2016,5,9,Nada
1.000,127500,42.482,0.097,5277,17.156,17,2016,5,10,Nada
1.167,105000,42.482,0.088,3928,13.459,14,2016,6,11,Nada
1.000,60000,42.482,0.050,1282,11.400,8,2016,6,12,Nada
1.000,90000,42.482,0.075,2868,12.769,12,2016,7,13,Nada
1.063,127500,42.482,0.117,6328,13.588,17,2016,7,14,Nada
1.083,97500,42.482,0.100,4126,11.108,13,2016,8,15,Nada
1.000,90000,42.482,0.102,3888,8.857,12,2016,8,16,Nada
1.077,105000,42.482,0.133,5947,8.000,14,2016,9,17,Poco
1.111,75000,42.482,0.108,3426,7.538,10,2016,9,18,Nada
