KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
2200,4400,1137,-2.000,-2275,0.000,2,2013,12,49,Nada
4400,13200,3412,3.000,10235,-0.375,6,2013,12,50,Mucho
2750,11000,2843,1.429,4062,2.250,5,2013,12,51,Medio
0,0,0,0.000,0,0.231,0,2013,12,52,Nada
0,0,0,0.000,0,0.273,0,2013,12,53,Nada
0,0,0,0.000,0,0.600,0,2014,1,1,Nada
0,0,0,0.000,0,1.000,0,2014,1,2,Nada
2200,4400,1137,0.333,379,0.000,2,2014,1,3,Nada
2933,8800,2275,0.400,910,18.000,4,2014,1,4,Nada
3667,11000,2843,0.909,2585,4.000,5,2014,1,5,Medio
2200,2200,569,0.400,227,0.818,1,2014,2,6,Mucho
2200,4400,1137,2.000,2275,0.600,2,2014,2,7,Medio
0,0,0,0.000,0,0.000,0,2014,2,8,Nada
2200,2200,569,0.154,87,0.000,1,2014,2,9,Nada
4400,8800,2275,0.364,827,13.000,4,2014,3,10,Nada
2933,8800,2275,0.286,650,5.400,4,2014,3,11,Nada
2933,8800,2275,0.235,535,6.333,4,2014,3,12,Nada
2200,13200,3412,0.545,1861,3.750,6,2014,3,13,Nada
4400,17600,4549,2.667,12131,1.500,8,2014,3,14,Medio
4950,19800,5118,6.000,30706,-0.167,9,2014,4,15,Mucho
2200,8800,2275,2.000,4549,0.522,4,2014,4,16,Mucho
4400,4400,1137,0.154,175,0.000,2,2014,4,17,Nada
3960,19800,5118,0.419,2142,5.200,9,2014,4,18,Medio
0,0,0,0.000,0,3.400,0,2014,5,19,Nada
3300,6600,1706,0.194,330,4.636,3,2014,5,20,Nada
0,0,0,0.000,0,3.500,0,2014,5,21,Nada
2200,4400,1673,0.100,167,14.000,2,2014,5,22,Nada
2933,17600,6691,0.364,2433,15.600,8,2014,6,23,Nada
3667,11000,4182,0.323,1349,5.400,5,2014,6,24,Nada
2567,15400,5855,0.737,4314,2.600,7,2014,6,25,Nada
0,0,0,0.000,0,0.900,0,2014,6,26,Nada
2200,2200,836,0.182,152,1.500,1,2014,6,27,Nada
2200,8800,3345,1.333,4461,1.875,4,2014,7,28,Medio
0,0,0,0.000,0,0.600,0,2014,7,29,Nada
3300,6600,2509,0.462,1158,0.600,3,2014,7,30,Medio
2200,8800,3345,0.400,1338,5.143,4,2014,7,31,Nada
4400,4400,1673,0.286,478,3.429,2,2014,8,32,Nada
4400,4400,1673,0.400,669,2.000,2,2014,8,33,Nada
0,0,0,0.000,0,1.500,0,2014,8,34,Nada
2200,2200,836,0.057,48,3.000,1,2014,8,35,Nada
2640,13200,5018,0.214,1075,31.000,6,2014,8,36,Nada
5720,28600,10873,0.703,7640,10.714,13,2014,9,37,Medio
2750,11000,4182,0.526,2201,1.800,5,2014,9,38,Nada
4400,8800,3345,0.889,2974,0.875,4,2014,9,39,Medio
0,0,0,0.000,0,0.273,0,2014,9,40,Nada
0,0,0,0.000,0,0.667,0,2014,10,41,Nada
0,0,0,0.000,0,1.500,0,2014,10,42,Nada
0,0,0,0.000,0,1.000,0,2014,10,43,Nada
2933,8800,3345,0.000,0,1.000,4,2014,10,44,Nada
3300,6600,2509,0.171,430,-1.500,3,2014,11,45,Nada
3575,28600,10873,0.426,4634,15.857,13,2014,11,46,Medio
4033,48400,18400,1.692,31138,3.600,22,2014,11,47,Medio
0,0,0,0.000,0,0.158,0,2014,11,48,Nada
0,0,0,0.000,0,0.171,0,2014,11,49,Nada
6600,6600,2509,6.000,15055,0.273,3,2014,12,50,Mucho
0,0,0,0.000,0,-1.000,0,2014,12,51,Nada
4400,8800,3345,0.103,343,41.000,4,2014,12,52,Nada
2200,2200,836,0.027,23,15.857,1,2014,12,53,Nada
2200,6600,2509,0.087,218,21.600,3,2015,1,1,Nada
2933,8800,3345,0.129,432,12.375,4,2015,1,2,Nada
4400,13200,5018,0.231,1158,10.875,6,2015,1,3,Nada
2933,17600,6691,0.421,2817,5.308,8,2015,1,4,Nada
3667,22000,8364,1.000,8364,2.500,10,2015,1,5,Nada
2200,6600,2509,0.857,2151,0.625,3,2015,2,6,Medio
0,0,0,0.000,0,0.286,0,2015,2,7,Nada
0,0,0,0.000,0,0.000,0,2015,2,8,Nada
0,0,0,0.000,0,0.000,0,2015,2,9,Nada
2200,2200,836,0.074,62,0.000,1,2015,3,10,Nada
3080,15400,5254,0.298,1565,81.000,7,2015,3,11,Nada
2750,11000,3753,0.286,1072,7.500,5,2015,3,12,Nada
2750,11000,3753,0.400,1501,3.462,5,2015,3,13,Nada
4400,17600,6005,1.333,8006,1.765,8,2015,3,14,Medio
2200,2200,751,0.667,500,0.333,1,2015,4,15,Medio
4400,8800,3002,-4.000,-12009,0.214,4,2015,4,16,Nada
3300,6600,2252,0.182,409,-0.692,3,2015,4,17,Nada
5500,11000,3753,0.149,560,13.500,5,2015,4,18,Nada
2200,8800,3002,0.138,414,7.750,4,2015,5,19,Nada
