KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
8750,35000,11364,3.333,37879,0.545,5,2013,12,49,Mucho
7000,56000,18182,8.000,145452,-0.136,8,2013,12,50,Mucho
6462,84000,27272,2.000,54544,0.450,12,2013,12,51,Mucho
7636,84000,27272,1.333,36362,1.080,12,2013,12,52,Medio
8400,42000,13636,1.000,13636,0.844,6,2013,12,53,Mucho
7000,7000,2273,0.400,909,0.300,1,2014,1,1,Medio
7000,14000,4545,2.000,9091,0.316,2,2014,1,2,Mucho
7000,35000,11363,0.556,6313,0.000,5,2014,1,3,Medio
7000,35000,11363,0.227,2583,6.750,5,2014,1,4,Nada
7000,35000,11363,0.213,2418,6.500,5,2014,1,5,Nada
8077,105000,34090,0.769,26223,4.200,15,2014,2,6,Mucho
7000,77000,24999,0.449,11224,2.160,11,2014,2,7,Mucho
7000,28000,9091,0.105,957,3.000,4,2014,2,8,Nada
7000,35000,11363,0.118,1337,4.500,5,2014,2,9,Nada
8750,35000,11363,0.133,1515,6.000,5,2014,3,10,Nada
7000,28000,9091,0.121,1102,7.500,4,2014,3,11,Nada
7000,56000,18181,0.296,5387,6.643,8,2014,3,12,Nada
7000,56000,18181,0.432,7862,4.059,8,2014,3,13,Medio
7000,28000,9091,0.333,3030,2.100,4,2014,3,14,Nada
7000,49000,15909,0.560,8909,1.500,7,2014,4,15,Nada
7000,49000,15909,0.341,5432,2.368,7,2014,4,16,Nada
7000,21000,6818,0.122,835,4.333,3,2014,4,17,Nada
7000,28000,9091,0.148,1347,4.059,4,2014,4,18,Nada
7250,14500,5045,0.067,336,6.643,2,2014,5,19,Nada
9375,37500,13863,0.189,2616,9.667,5,2014,5,20,Nada
7500,45000,15303,0.200,3061,6.545,6,2014,5,21,Nada
7500,15000,4879,0.057,279,8.308,2,2014,5,22,Nada
7500,52500,17075,0.230,3919,7.846,7,2014,6,23,Nada
7500,37500,12197,0.204,2489,5.400,5,2014,6,24,Nada
7500,37500,12197,0.256,3127,4.714,5,2014,6,25,Nada
7500,37500,12197,0.345,4206,3.000,5,2014,6,26,Nada
7500,7500,2439,0.049,119,2.400,1,2014,6,27,Nada
7500,30000,9757,0.148,1446,7.909,4,2014,7,28,Nada
7500,37500,12197,0.227,2772,7.500,5,2014,7,29,Nada
7500,22500,7318,0.171,1255,5.700,3,2014,7,30,Nada
7500,30000,9757,0.286,2788,4.000,4,2014,7,31,Nada
7500,22500,7318,0.286,2091,3.000,3,2014,8,32,Nada
7500,15000,4879,0.250,1220,2.700,2,2014,8,33,Nada
7500,30000,9757,0.364,3548,2.333,4,2014,8,34,Nada
7500,45000,14636,0.500,7318,5.000,6,2014,8,35,Medio
6250,37500,12197,0.769,9382,2.250,5,2014,8,36,Nada
7500,37500,12197,0.476,5808,0.800,5,2014,9,37,Mucho
7500,22500,7318,0.194,1416,3.188,3,2014,9,38,Nada
7500,22500,7318,0.122,896,3.231,3,2014,9,39,Nada
7500,15000,4879,0.059,287,9.545,2,2014,9,40,Nada
7500,22500,7318,0.095,697,12.375,3,2014,10,41,Nada
7500,15000,4879,0.069,336,11.250,2,2014,10,42,Nada
7500,67500,21954,0.383,8408,12.000,9,2014,10,43,Nada
7500,37500,12197,0.222,2710,4.071,5,2014,10,44,Nada
8250,82500,26833,0.537,14398,4.875,11,2014,11,45,Mucho
7500,22500,7318,0.222,1626,1.800,3,2014,11,46,Nada
7500,45000,14636,0.333,4879,1.895,6,2014,11,47,Nada
7500,37500,12197,0.233,2836,3.600,5,2014,11,48,Nada
7500,52500,17075,0.452,7711,4.071,7,2014,11,49,Medio
7500,97500,31711,0.897,28431,2.000,13,2014,12,50,Medio
7500,60000,19515,0.615,12009,2.040,8,2014,12,51,Medio
7500,67500,21954,0.462,10133,0.964,9,2014,12,52,Nada
7500,7500,2439,0.034,83,3.000,1,2014,12,53,Nada
7500,22500,7318,0.109,798,4.833,3,2015,1,1,Nada
7500,60000,19515,0.364,7096,6.000,8,2015,1,2,Nada
7500,7500,2439,0.057,139,4.500,1,2015,1,3,Nada
8333,75000,24393,0.833,20328,4.250,10,2015,1,4,Medio
8182,90000,29272,0.923,27020,1.105,12,2015,1,5,Medio
8250,82500,26833,0.489,13118,2.478,11,2015,2,6,Mucho
10000,90000,29272,0.615,18014,2.364,12,2015,2,7,Mucho
9643,67500,21954,0.514,11291,1.114,9,2015,2,8,Nada
7500,37500,12197,0.256,3127,2.063,5,2015,2,9,Nada
7500,60000,19515,0.364,7096,1.962,8,2015,3,10,Nada
7500,60000,19515,0.348,6788,3.682,8,2015,3,11,Nada
7500,45000,14636,0.375,5489,2.714,6,2015,3,12,Nada
7500,15000,4879,0.167,813,1.773,2,2015,3,13,Nada
7500,60000,19515,0.500,9757,2.063,8,2015,3,14,Medio
7500,30000,9757,0.211,2054,3.938,4,2015,4,15,Nada
7500,37500,12197,0.345,4206,3.643,5,2015,4,16,Nada
11250,22500,7318,0.286,2091,2.118,3,2015,4,17,Nada
7500,15000,4879,0.250,1220,2.250,2,2015,4,18,Nada
7500,15000,4879,0.111,542,2.100,2,2015,5,19,Nada
7500,15000,4879,0.073,355,12.429,2,2015,5,20,Nada
7500,7500,2439,0.039,96,13.000,1,2015,5,21,Nada
7500,37500,12197,0.145,1768,15.000,5,2015,5,22,Nada
9375,37500,12197,0.120,1469,16.500,5,2015,5,23,Nada
7500,22500,7318,0.080,585,10.636,3,2015,6,24,Nada
7500,15000,4879,0.057,279,8.308,2,2015,6,25,Nada
7500,22500,7318,0.092,676,10.200,3,2015,6,26,Nada
0,0,0,0.000,0,11.625,0,2015,6,27,Nada
7500,22500,7318,0.102,744,18.600,3,2015,7,28,Nada
7500,30000,9757,0.154,1501,14.000,4,2015,7,29,Nada
7500,60000,19515,0.400,7806,10.286,8,2015,7,30,Medio
7500,30000,9757,0.286,2788,3.200,4,2015,7,31,Nada
7500,30000,9757,0.400,3903,2.250,4,2015,8,32,Nada
7500,22500,7318,0.158,1155,1.500,3,2015,8,33,Nada
7500,30000,9757,0.143,1394,8.182,4,2015,8,34,Nada
7500,45000,14636,0.255,3737,7.091,6,2015,8,35,Nada
6250,37500,12197,0.182,2218,4.846,5,2015,8,36,Nada
7500,45000,14636,0.194,2833,6.800,6,2015,9,37,Nada
7500,45000,14636,0.240,3513,4.941,6,2015,9,38,Nada
7500,30000,9757,0.200,1951,3.882,4,2015,9,39,Nada
7500,37500,12197,0.270,3296,3.375,5,2015,9,40,Nada
9000,45000,14636,0.375,5489,3.800,6,2015,10,41,Nada
7500,37500,12197,0.476,5808,2.600,5,2015,10,42,Nada
9375,37500,12197,0.909,11088,1.500,5,2015,10,43,Medio
7500,22500,7318,0.286,2091,0.563,3,2015,10,44,Nada
0,0,0,0.000,0,4.154,0,2015,11,45,Nada
7500,30000,8303,0.182,1510,6.750,4,2015,11,46,Nada
7500,45000,12455,0.261,3249,11.143,6,2015,11,47,Nada
7500,37500,10379,0.286,2965,6.000,5,2015,11,48,Nada
7500,60000,16607,0.471,7815,3.000,8,2015,11,49,Medio
7500,45000,12455,0.375,4671,3.000,6,2015,12,50,Nada
7500,15000,4152,0.074,308,2.053,2,2015,12,51,Nada
7500,22500,6227,0.076,473,7.688,3,2015,12,52,Nada
7500,67500,18682,0.269,5019,10.364,9,2015,12,53,Nada
7500,7500,2076,0.035,73,6.214,1,2016,1,53,Nada
7500,67500,18682,0.383,7155,6.462,9,2016,1,1,Nada
7500,60000,16607,0.296,4920,3.000,8,2016,1,2,Nada
7500,75000,20758,0.333,6919,5.833,10,2016,1,3,Medio
7500,45000,12455,0.194,2411,2.778,6,2016,1,4,Nada
7500,45000,12455,0.176,2198,4.625,6,2016,1,5,Nada
8438,67500,18682,0.277,5174,4.227,9,2016,2,6,Nada
7500,52500,14531,0.230,3335,4.857,7,2016,2,7,Nada
8750,52500,14531,0.311,4521,3.682,7,2016,2,8,Nada
0,0,0,0.000,0,2.348,0,2016,2,9,Nada
