KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
11429,80000,18000,1.667,30000,0.500,10,2013,12,49,Mucho
8727,96000,21600,0.343,7406,0.050,12,2013,12,50,Nada
8000,88000,19800,0.173,3430,4.705,11,2013,12,51,Nada
11636,128000,28800,0.320,9216,5.273,16,2013,12,52,Nada
10000,120000,27000,0.435,11739,3.231,15,2013,12,53,Nada
8000,72000,16200,0.400,6480,1.929,9,2014,1,1,Nada
10182,112000,25200,0.549,13835,1.350,14,2014,1,2,Mucho
10353,176000,39600,0.688,27225,2.605,22,2014,1,3,Nada
8833,106000,23218,0.377,8749,2.067,13,2014,1,4,Nada
8500,85000,18636,0.208,3883,2.327,10,2014,1,5,Nada
8500,102000,22364,0.231,5161,3.867,12,2014,2,6,Nada
9031,144500,31682,0.453,14362,3.943,17,2014,2,7,Nada
12750,229500,50318,1.742,87651,2.231,27,2014,2,8,Nada
16150,161500,35409,0.585,20701,0.107,19,2014,2,9,Medio
21250,127500,27955,0.270,7555,3.000,15,2014,3,10,Nada
8500,93500,20500,0.176,3608,2.361,11,2014,3,11,Nada
9208,110500,24227,0.184,4467,5.133,13,2014,3,12,Nada
10045,110500,24227,0.226,5477,4.923,13,2014,3,13,Nada
10119,212500,46591,0.649,30254,4.135,25,2014,3,14,Medio
13868,263500,57773,1.216,70234,1.529,31,2014,4,15,Nada
14571,204000,44727,0.727,32529,1.087,24,2014,4,16,Nada
9208,110500,24227,0.377,9129,1.538,13,2014,4,17,Nada
8500,153000,33545,0.409,13723,1.235,18,2014,4,18,Mucho
15583,187000,41000,0.449,18408,3.273,22,2014,5,19,Nada
14682,161500,35409,0.667,23606,2.151,19,2014,5,20,Nada
8500,93500,20500,0.815,16704,0.966,11,2014,5,21,Medio
9031,144500,31682,0.430,13635,0.462,17,2014,5,22,Medio
8500,136000,29818,0.254,7573,4.532,16,2014,6,23,Nada
8500,170000,37273,0.444,16566,3.750,20,2014,6,24,Nada
8500,187000,41000,0.917,37583,1.981,22,2014,6,25,Medio
10000,170000,37273,0.870,32411,0.672,20,2014,6,26,Medio
9067,136000,29818,0.457,13631,1.597,16,2014,6,27,Nada
9000,153000,33545,0.643,21565,1.914,18,2014,7,28,Nada
9350,93500,20500,0.815,16704,1.056,11,2014,7,29,Medio
9500,161500,35409,1.407,49835,0.533,19,2014,7,30,Mucho
9067,136000,29818,0.615,18350,1.188,16,2014,7,31,Mucho
9714,136000,24736,0.400,9895,2.152,16,2014,8,32,Nada
10700,107000,22673,0.293,6636,2.765,12,2014,8,33,Nada
9692,126000,27618,0.368,10175,2.386,14,2014,8,34,Nada
11250,135000,29591,0.448,13250,2.929,15,2014,8,35,Nada
10059,171000,37482,0.884,33123,1.902,19,2014,8,36,Medio
9600,144000,31564,0.471,14853,1.063,16,2014,9,37,Mucho
9000,180000,39455,0.488,19246,3.060,20,2014,9,38,Nada
11500,207000,45373,0.667,30248,1.691,23,2014,9,39,Medio
10080,252000,55236,0.519,28641,1.932,28,2014,9,40,Medio
9450,189000,41427,0.353,14621,2.958,21,2014,10,41,Nada
12857,360000,78909,1.379,108840,2.042,40,2014,10,42,Medio
12971,441000,96664,5.158,498581,0.303,49,2014,10,43,Mucho
13680,342000,74964,1.810,135648,0.273,38,2014,10,44,Mucho
11100,333000,72991,2.000,145982,0.756,37,2014,11,45,Medio
13500,459000,100609,11.333,1140236,0.121,51,2014,11,46,Mucho
12214,342000,74964,1.520,113945,0.095,38,2014,11,47,Mucho
13909,459000,100609,2.488,250296,1.095,51,2014,11,48,Medio
10350,207000,45373,2.706,122773,-0.107,23,2014,11,49,Mucho
10636,234000,51291,0.897,45985,0.589,26,2014,12,50,Mucho
10200,306000,67073,1.172,78637,1.080,34,2014,12,51,Medio
12375,297000,65100,0.468,30472,0.795,33,2014,12,52,Nada
12176,207000,45373,0.224,10181,3.839,23,2014,12,53,Nada
12000,144000,31564,0.205,6475,2.867,16,2015,1,1,Nada
11423,297000,65100,0.520,33831,2.917,33,2015,1,2,Medio
14318,315000,69045,0.886,61180,2.375,35,2015,1,3,Medio
13125,315000,69045,1.186,81918,0.786,35,2015,1,4,Medio
9500,171000,37482,0.691,25897,1.078,19,2015,1,5,Mucho
11842,225000,49318,0.704,34731,0.607,25,2015,2,6,Nada
10800,54000,11836,0.092,1093,2.013,6,2015,2,7,Nada
11455,126000,27618,0.200,5524,4.620,14,2015,2,8,Nada
11571,162000,35509,0.333,11836,4.200,18,2015,2,9,Nada
9529,162000,35509,0.500,17755,3.553,18,2015,3,10,Nada
9000,144000,31564,0.410,12949,1.620,16,2015,3,11,Nada
9000,63000,13809,0.122,1681,2.942,7,2015,3,12,Nada
10000,90000,19727,0.169,3344,4.683,10,2015,3,13,Nada
10421,198000,43400,0.349,15156,4.909,22,2015,3,14,Nada
9900,198000,43400,0.361,15652,5.538,22,2015,4,15,Nada
9000,90000,19727,0.222,4384,2.778,10,2015,4,16,Nada
10636,117000,25645,0.388,9952,2.222,13,2015,4,17,Nada
9900,99000,18964,0.301,5715,1.800,11,2015,4,18,Nada
9000,63000,11073,0.133,1476,4.059,7,2015,5,19,Nada
10286,72000,12655,0.145,1841,5.710,8,2015,5,20,Nada
9000,81000,14236,0.135,1927,5.885,9,2015,5,21,Nada
9000,54000,9491,0.075,716,10.250,6,2015,5,22,Nada
