KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1029,14400,6188,0.238,1471,61.636,48,2013,12,Nada
825,3300,1418,0.071,100,9.051,11,2014,1,Nada
1350,5400,2321,0.145,337,5.700,18,2014,2,Nada
1516,28800,12377,1.091,13502,4.481,96,2014,3,Nada
1376,23400,10056,0.951,9566,1.464,78,2014,4,Mucho
1586,55500,23870,2.624,62638,1.609,185,2014,5,Medio
932,26100,11228,0.787,8840,0.318,87,2014,6,Medio
1221,17100,7356,0.369,2714,1.569,57,2014,7,Nada
1830,18300,7873,0.639,5029,1.149,61,2014,8,Mucho
1338,17400,7486,0.617,4619,0.951,58,2014,9,Mucho
1064,11700,5033,0.239,1201,2.097,39,2014,10,Nada
1376,23400,10067,0.473,4759,3.873,78,2014,11,Medio
1350,16200,6969,0.340,2367,2.160,54,2014,12,Nada
1326,25200,10841,0.560,6071,3.368,84,2015,1,Medio
1230,12300,5291,0.275,1456,1.500,41,2015,2,Nada
1313,10500,4517,0.203,917,3.184,35,2015,3,Nada
700,4200,1807,0.095,171,2.906,14,2015,4,Nada
1200,1200,516,0.029,15,4.700,4,2015,5,Nada
900,5400,2211,0.096,212,7.755,18,2015,6,Nada
1453,27600,11231,0.477,5354,19.917,92,2015,7,Medio
1712,29100,11841,1.032,12219,3.868,97,2015,8,Nada
1367,12300,5005,2.000,10010,0.594,41,2015,9,Mucho
1641,27900,9066,5.471,49594,0.000,93,2015,10,Mucho
971,20400,6592,1.097,7230,0.442,68,2015,11,Mucho
1220,18300,5913,1.025,6062,1.337,61,2015,12,Medio
1200,19200,6204,1.123,6966,0.392,64,2016,1,Mucho
940,14100,4556,0.764,3482,1.321,47,2016,2,Mucho
969,12600,4071,0.553,2250,0.663,42,2016,3,Mucho
1050,10500,3393,0.363,1231,2.235,35,2016,4,Nada
1757,12300,3975,0.804,3195,1.911,41,2016,5,Medio
900,10800,3490,0.554,1933,0.585,36,2016,6,Medio
1217,21900,7077,1.123,7948,2.866,73,2016,7,Medio
1463,23400,7561,1.773,13404,0.460,78,2016,8,Mucho
1629,22800,7367,0.899,6626,1.043,76,2016,9,Medio
