KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
2300,4600,1724,2.000,3448,6.000,2,2013,12,Nada
0,0,0,0.000,0,0.000,0,2014,1,Nada
0,0,0,0.000,0,0.000,0,2014,2,Nada
0,0,0,0.000,0,0.000,0,2014,3,Nada
0,0,0,0.000,0,0.000,0,2014,4,Nada
0,0,0,0.000,0,0.000,0,2014,5,Nada
0,0,0,0.000,0,0.000,0,2014,6,Nada
0,0,0,0.000,0,0.000,0,2014,7,Nada
0,0,0,0.000,0,0.000,0,2014,8,Nada
2300,6900,2646,0.667,1764,1.000,3,2014,9,Medio
3450,6900,2646,2.000,5292,3.000,3,2014,10,Medio
4600,4600,1764,1.000,1764,0.000,2,2014,11,Mucho
2300,9200,3528,0.800,2822,1.500,4,2014,12,Medio
2300,4600,1764,0.400,706,2.000,2,2015,1,Medio
0,0,0,0.000,0,1.500,0,2015,2,Nada
2300,2300,882,0.286,252,2.000,1,2015,3,Nada
2300,4600,1770,0.400,708,3.000,2,2015,4,Medio
2300,6900,2665,0.545,1454,7.000,3,2015,5,Mucho
2300,6900,2665,1.200,3198,2.000,3,2015,6,Medio
0,0,0,0.000,0,0.375,0,2015,7,Nada
0,0,0,0.000,0,0.500,0,2015,8,Nada
2300,2300,888,0.667,592,2.000,1,2015,9,Nada
2300,2300,888,2.000,1777,3.000,1,2015,10,Medio
0,0,0,0.000,0,0.000,0,2015,11,Nada
0,0,0,0.000,0,0.000,0,2015,12,Nada
2300,4600,924,1.000,924,0.000,2,2016,1,Mucho
2300,6900,1386,1.200,1664,6.000,3,2016,2,Medio
2300,2300,462,2.000,924,0.600,1,2016,3,Mucho
2300,2300,462,0.400,185,0.000,1,2016,4,Medio
0,0,0,0.000,0,3.000,0,2016,5,Nada
2300,6900,1386,0.667,924,9.000,3,2016,6,Mucho
0,0,0,0.000,0,2.250,0,2016,7,Nada
0,0,0,0.000,0,2.000,0,2016,8,Nada
2300,2300,462,0.667,308,2.000,1,2016,9,Nada
