KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
0,0,0,0.000,0,1.000,0,2014,1,Nada
0,0,0,0.000,0,1.000,0,2014,2,Nada
5400,5400,1400,1.000,1400,1.000,2,2014,3,Medio
2700,2700,700,2.000,1400,1.500,1,2014,4,Medio
0,0,0,0.000,0,0.000,0,2014,5,Nada
0,0,0,0.000,0,0.000,0,2014,6,Nada
0,0,0,0.000,0,0.000,0,2014,7,Nada
0,0,0,0.000,0,0.000,0,2014,8,Nada
0,0,0,0.000,0,0.000,0,2014,9,Nada
0,0,0,0.000,0,0.000,0,2014,10,Nada
0,0,0,0.000,0,0.000,0,2014,11,Nada
0,0,0,0.000,0,0.000,0,2014,12,Nada
0,0,0,0.000,0,0.000,0,2015,1,Nada
0,0,0,0.000,0,0.000,0,2015,2,Nada
2700,5400,1945,2.000,3891,1.000,2,2015,3,Medio
2700,8100,2918,2.000,5836,0.000,3,2015,4,Mucho
0,0,0,0.000,0,1.800,0,2015,5,Nada
0,0,0,0.000,0,1.800,0,2015,6,Nada
2700,2700,973,0.400,389,3.000,1,2015,7,Nada
0,0,0,0.000,0,6.000,0,2015,8,Nada
0,0,0,0.000,0,6.000,0,2015,9,Nada
2700,2700,973,0.222,216,6.000,1,2015,10,Nada
0,0,0,0.000,0,21.000,0,2015,11,Nada
2700,5400,1945,0.333,648,21.000,2,2015,12,Medio
0,0,0,0.000,0,5.000,0,2016,1,Nada
0,0,0,0.000,0,7.500,0,2016,2,Nada
0,0,0,0.000,0,7.500,0,2016,3,Nada
0,0,0,0.000,0,1.000,0,2016,4,Nada
2700,2700,973,0.222,216,1.000,1,2016,5,Nada
0,0,0,0.000,0,12.000,0,2016,6,Nada
2700,5400,1945,0.667,1297,12.000,2,2016,7,Mucho
0,0,0,0.000,0,2.000,0,2016,8,Nada
2700,5400,1945,0.444,865,7.500,2,2016,9,Mucho
