KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
9500,38000,12095,0.444,5376,11.000,4,2013,12,Mucho
9500,57000,18143,0.667,12095,3.000,6,2014,1,Mucho
0,0,0,0.000,0,2.538,0,2014,2,Nada
9500,9500,3024,0.091,275,3.300,1,2014,3,Nada
0,0,0,0.000,0,4.714,0,2014,4,Nada
0,0,0,0.000,0,33.000,0,2014,5,Nada
9500,9500,3024,0.095,288,33.000,1,2014,6,Nada
0,0,0,0.000,0,30.000,0,2014,7,Nada
0,0,0,0.000,0,30.000,0,2014,8,Nada
9500,9500,3024,0.105,318,30.000,1,2014,9,Nada
9500,9500,3024,0.118,356,27.000,1,2014,10,Nada
9500,9500,3024,0.133,403,12.000,1,2014,11,Nada
0,0,0,0.000,0,7.000,0,2014,12,Nada
9500,19000,6048,0.333,2016,10.500,2,2015,1,Nada
9500,9500,3024,0.105,318,5.000,1,2015,2,Nada
0,0,0,0.000,0,14.000,0,2015,3,Nada
9500,9500,2881,0.074,213,14.000,1,2015,4,Nada
9500,19000,5762,0.167,960,19.500,2,2015,5,Nada
9500,19000,5762,0.200,1152,11.000,2,2015,6,Nada
0,0,0,0.000,0,5.400,0,2015,7,Nada
9500,9500,2881,0.105,303,6.750,1,2015,8,Nada
0,0,0,0.000,0,10.000,0,2015,9,Nada
0,0,0,0.000,0,30.000,0,2015,10,Nada
9500,9500,2881,0.105,303,30.000,1,2015,11,Nada
9500,9500,2881,0.118,339,27.000,1,2015,12,Nada
0,0,0,0.000,0,12.000,0,2016,1,Nada
0,0,0,0.000,0,12.000,0,2016,2,Nada
0,0,0,0.000,0,24.000,0,2016,3,Nada
9500,9500,2881,0.286,823,1.000,1,2016,4,Nada
9500,9500,2881,0.667,1921,9.000,1,2016,5,Nada
0,0,0,0.000,0,0.000,0,2016,6,Nada
0,0,0,0.000,0,0.000,0,2016,7,Nada
0,0,0,0.000,0,0.000,0,2016,8,Nada
0,0,0,0.000,0,0.000,0,2016,9,Nada
