KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
0,0,0,0.000,0,0.000,0,2014,1,Nada
0,0,0,0.000,0,0.000,0,2014,2,Nada
0,0,0,0.000,0,0.000,0,2014,3,Nada
0,0,0,0.000,0,0.000,0,2014,4,Nada
0,0,0,0.000,0,0.000,0,2014,5,Nada
0,0,0,0.000,0,0.000,0,2014,6,Nada
0,0,0,0.000,0,0.000,0,2014,7,Nada
3000,3000,1492,0.087,130,0.000,1,2014,8,Nada
0,0,0,0.000,0,69.000,0,2014,9,Nada
3429,24000,9400,0.533,5013,57.000,8,2014,10,Nada
3000,3000,1175,0.095,112,3.667,1,2014,11,Nada
0,0,0,0.000,0,3.333,0,2014,12,Nada
3000,6000,2350,0.222,522,3.333,2,2015,1,Nada
6000,12000,4700,0.667,3133,8.000,4,2015,2,Nada
3000,3000,1175,0.286,336,2.000,1,2015,3,Nada
3429,48000,18800,2.286,42971,1.286,16,2015,4,Medio
3750,30000,11750,1.667,19583,1.571,10,2015,5,Nada
3000,3000,1175,2.000,2350,0.111,1,2015,6,Mucho
3500,63000,25244,14.000,353411,0.000,21,2015,7,Mucho
5333,48000,19305,2.462,47521,0.281,16,2015,8,Mucho
3333,30000,12066,2.000,24132,0.789,10,2015,9,Mucho
4200,21000,8450,0.824,6958,0.000,7,2015,10,Mucho
3857,27000,10864,0.367,3991,1.545,9,2015,11,Nada
3600,72000,28970,1.200,34764,3.692,24,2015,12,Medio
4714,33000,13278,0.880,11685,0.600,11,2016,1,Mucho
3900,39000,15692,1.238,19428,1.159,13,2016,2,Mucho
4000,12000,4828,2.000,9657,0.250,4,2016,3,Mucho
0,0,0,0.000,0,0.000,0,2016,4,Nada
3750,45000,18106,3.333,60354,0.000,15,2016,5,Mucho
3375,54000,20922,1.500,31383,1.421,18,2016,6,Medio
4500,45000,14080,2.000,28159,1.364,15,2016,7,Mucho
4500,72000,21938,0.000,0,0.000,24,2016,8,Mucho
0,0,0,0.000,0,0.000,0,2016,9,Nada
