KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
0,0,0,0.000,0,0.000,0,2014,1,Nada
0,0,0,0.000,0,0.000,0,2014,2,Nada
0,0,0,0.000,0,0.000,0,2014,3,Nada
0,0,0,0.000,0,0.000,0,2014,4,Nada
4966,144000,52357,0.000,0,0.000,40,2014,5,Nada
0,0,0,0.000,0,0.000,0,2014,6,Nada
3600,183600,67029,-102.000,-6836914,0.000,51,2014,7,Nada
4095,327600,119600,1.701,203432,-0.033,91,2014,8,Mucho
4114,345600,126171,0.873,110113,2.282,96,2014,9,Medio
3850,388800,141943,1.000,141943,1.412,108,2014,10,Mucho
3955,561600,205029,2.053,420848,1.058,156,2014,11,Mucho
4197,734400,268114,4.435,1189029,0.400,204,2014,12,Mucho
4008,601200,219486,1.040,228375,0.282,167,2015,1,Mucho
4145,547200,199771,0.756,151071,1.577,152,2015,2,Medio
3692,432000,181790,1.548,281482,0.717,120,2015,3,Mucho
3724,108000,48571,2.000,97143,0.205,30,2015,4,Mucho
0,0,0,0.000,0,0.000,0,2015,5,Nada
0,0,0,0.000,0,0.000,0,2015,6,Nada
0,0,0,0.000,0,0.000,0,2015,7,Nada
3825,122400,44686,1.193,53309,0.000,34,2015,8,Mucho
3776,385200,140629,3.754,527974,5.029,107,2015,9,Nada
4050,32400,9829,0.222,2184,0.000,9,2015,10,Nada
4150,298800,85371,2.101,179388,1.620,83,2015,11,Medio
4255,936000,292190,-130.000,-37984762,-0.030,260,2015,12,Mucho
0,0,0,0.000,0,-0.017,0,2016,1,Nada
0,0,0,0.000,0,0.000,0,2016,2,Nada
0,0,0,0.000,0,0.000,0,2016,3,Nada
0,0,0,0.000,0,0.000,0,2016,4,Nada
0,0,0,0.000,0,0.000,0,2016,5,Nada
0,0,0,0.000,0,0.000,0,2016,6,Nada
0,0,0,0.000,0,0.000,0,2016,7,Nada
0,0,0,0.000,0,0.000,0,2016,8,Nada
0,0,0,0.000,0,0.000,0,2016,9,Nada
