KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
3095,65000,53864,-26.000,-1400455,0.000,26,2013,12,Mucho
2647,45000,16364,-18.000,-294545,-0.231,18,2014,1,Nada
0,0,0,0.000,0,0.000,0,2014,2,Nada
3056,27500,8939,1.692,15128,0.000,11,2014,3,Mucho
2708,32500,10095,2.000,20189,1.345,13,2014,4,Mucho
2500,7500,2330,-2.000,-4659,0.000,3,2014,5,Nada
2708,32500,10095,5.200,52492,-0.333,13,2014,6,Mucho
2857,20000,6212,2.000,12424,0.828,8,2014,7,Medio
0,0,0,0.000,0,0.000,0,2014,8,Nada
0,0,0,0.000,0,0.000,0,2014,9,Nada
2500,15000,3491,0.667,2327,0.000,6,2014,10,Medio
3000,45000,10473,2.000,20945,9.000,18,2014,11,Nada
0,0,0,0.000,0,0.000,0,2014,12,Nada
2692,35000,4605,0.824,3793,0.000,14,2015,1,Mucho
3036,42500,4420,0.667,2947,3.188,17,2015,2,Medio
2400,60000,5376,1.412,7590,1.645,24,2015,3,Medio
3333,40000,3433,1.778,6103,0.927,16,2015,4,Mucho
0,0,0,0.000,0,0.053,0,2015,5,Nada
2708,32500,1595,0.703,1121,1.875,13,2015,6,Medio
2708,32500,1595,2.364,3771,1.241,13,2015,7,Mucho
3036,42500,201,1.133,228,-0.115,17,2015,8,Mucho
2857,20000,95,0.205,19,2.163,8,2015,9,Nada
3333,10000,-153,0.089,-14,3.711,4,2015,10,Nada
2917,17500,-267,0.177,-47,4.448,7,2015,11,Nada
3357,47000,11465,0.341,3915,5.684,14,2015,12,Medio
4308,56000,19396,0.275,5324,5.520,14,2016,1,Medio
4333,52000,18011,0.263,4730,4.800,13,2016,2,Medio
6000,60000,20782,0.423,8781,3.146,15,2016,3,Mucho
6000,72000,24938,0.947,23626,2.000,18,2016,4,Medio
6000,24000,8313,1.200,9975,0.652,6,2016,5,Medio
0,0,0,0.000,0,0.000,0,2016,6,Nada
0,0,0,0.000,0,0.000,0,2016,7,Nada
0,0,0,0.000,0,0.000,0,2016,8,Nada
0,0,0,0.000,0,0.000,0,2016,9,Nada
