KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
0,0,0,0.000,0,0.000,0,2014,1,Nada
0,0,0,0.000,0,0.000,0,2014,2,Nada
30000,30000,8182,0.400,3273,0.000,2,2014,3,Medio
15000,150000,40909,2.000,81818,15.000,10,2014,4,Medio
13333,120000,32727,1.000,32727,0.000,8,2014,5,Mucho
15000,120000,36364,0.667,24242,2.400,8,2014,6,Nada
15000,90000,27273,1.200,32727,0.923,6,2014,7,Medio
0,0,0,0.000,0,0.273,0,2014,8,Nada
0,0,0,0.000,0,0.000,0,2014,9,Nada
0,0,0,0.000,0,0.000,0,2014,10,Nada
0,0,0,0.000,0,0.000,0,2014,11,Nada
0,0,0,0.000,0,0.000,0,2014,12,Nada
0,0,0,0.000,0,0.000,0,2015,1,Nada
0,0,0,0.000,0,0.000,0,2015,2,Nada
0,0,0,0.000,0,0.000,0,2015,3,Nada
16364,180000,51818,0.000,0,0.000,12,2015,4,Nada
12857,90000,27333,2.000,54665,0.000,6,2015,5,Mucho
15000,120000,36444,1.000,36444,1.000,8,2015,6,Medio
15000,240000,72887,2.000,145775,1.154,16,2015,7,Medio
15000,225000,68332,3.333,227773,0.600,15,2015,8,Medio
15625,375000,113886,2.941,334960,0.231,25,2015,9,Mucho
15000,255000,77443,1.478,114481,0.750,17,2015,10,Medio
15000,450000,136664,5.000,683318,0.474,30,2015,11,Mucho
15000,330000,100220,2.200,220484,0.125,22,2015,12,Mucho
15000,480000,145775,2.462,358830,0.739,32,2016,1,Medio
15000,465000,141219,2.696,380678,0.321,31,2016,2,Mucho
15000,465000,124675,2.296,286292,0.494,31,2016,3,Mucho
15000,405000,116564,1.543,179841,0.415,27,2016,4,Mucho
16875,675000,204995,1.915,392544,0.742,45,2016,5,Medio
15000,420000,127553,0.966,123154,0.728,28,2016,6,Mucho
15577,405000,122997,0.857,105426,0.990,27,2016,7,Mucho
15000,75000,22777,0.182,4141,0.900,5,2016,8,Nada
15000,30000,9111,0.085,775,1.250,2,2016,9,Nada
