KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
4000,24000,8227,3.000,24682,0.000,6,2014,1,Mucho
4571,32000,10909,1.600,17455,2.000,8,2014,2,Medio
4235,72000,21545,6.000,129273,1.286,18,2014,3,Medio
4000,20000,4318,2.000,8636,0.000,5,2014,4,Mucho
4000,36000,7773,1.636,12719,0.484,9,2014,5,Mucho
4400,88000,19000,5.500,104500,0.562,22,2014,6,Mucho
4000,24000,5182,3.000,15545,0.167,6,2014,7,Mucho
4267,64000,13818,5.333,73697,0.162,16,2014,8,Mucho
4400,88000,19000,5.500,104500,0.273,22,2014,9,Mucho
4400,88000,19000,5.500,104500,0.273,22,2014,10,Mucho
5600,84000,18136,3.231,58594,0.200,21,2014,11,Mucho
4286,60000,12955,3.333,43182,0.415,15,2014,12,Mucho
4000,36000,7773,18.000,139909,0.000,9,2015,1,Mucho
4000,32000,6909,1.600,11055,0.067,8,2015,2,Mucho
4000,44000,8545,1.692,14462,0.844,11,2015,3,Mucho
4000,32000,5818,1.600,9309,0.429,8,2015,4,Mucho
4000,20000,3636,0.588,2139,0.667,5,2015,5,Mucho
4000,32000,5818,1.333,7758,1.375,8,2015,6,Medio
4000,20000,3636,3.333,12121,0.143,5,2015,7,Mucho
4364,48000,8727,2.667,23273,0.333,12,2015,8,Mucho
4667,28000,5091,1.167,5939,0.840,7,2015,9,Medio
4800,28800,9164,1.200,10996,0.625,6,2015,10,Medio
5200,10400,3855,0.500,1927,0.600,2,2015,11,Mucho
5200,36400,10536,2.800,29502,0.600,7,2015,12,Mucho
5200,41600,10691,1.333,14255,0.400,8,2016,1,Mucho
5200,26000,6682,0.667,4455,1.765,5,2016,2,Nada
5200,15600,4009,0.462,1850,0.750,3,2016,3,Mucho
5200,15600,4009,0.462,1850,1.500,3,2016,4,Mucho
5200,15600,4009,0.545,2187,1.364,3,2016,5,Mucho
5200,26000,6682,1.429,9545,2.000,5,2016,6,Medio
6933,41600,10691,1.600,17105,0.273,8,2016,7,Mucho
6500,26000,6682,0.769,5140,1.688,5,2016,8,Nada
5778,52000,13364,1.818,24298,0.667,10,2016,9,Mucho
