KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
4750,76000,31229,38.000,1186705,0.000,19,2013,12,Mucho
4923,64000,26298,2.000,52596,0.158,16,2014,1,Mucho
4444,80000,28182,2.000,56364,1.286,20,2014,2,Medio
4706,80000,28182,5.714,161039,0.273,20,2014,3,Mucho
4000,8000,2818,2.000,5636,0.107,2,2014,4,Mucho
0,0,0,0.000,0,0.000,0,2014,5,Nada
0,0,0,0.000,0,0.000,0,2014,6,Nada
0,0,0,0.000,0,0.000,0,2014,7,Nada
4222,76000,26478,38.000,1006171,0.000,19,2014,8,Mucho
4444,40000,14058,10.000,140582,0.158,10,2014,9,Mucho
4923,64000,22545,-2.286,-51532,0.103,16,2014,10,Mucho
4000,40000,14091,-0.690,-9718,-1.000,10,2014,11,Nada
3692,48000,16909,-0.800,-13527,-1.167,12,2014,12,Nada
2000,16000,5636,-1.143,-6442,-1.263,4,2015,1,Nada
4190,88000,31000,2.095,64952,1.038,22,2015,2,Medio
4222,76000,26773,2.235,59845,0.947,19,2015,3,Medio
4000,20000,7045,2.000,14091,0.333,5,2015,4,Mucho
4000,12000,3837,0.667,2558,0.000,3,2015,5,Medio
5333,32000,10233,1.600,16372,1.000,8,2015,6,Medio
4400,44000,14070,22.000,309540,0.188,11,2015,7,Mucho
4000,20000,6395,1.000,6395,0.000,5,2015,8,Mucho
5176,88000,28140,3.385,95243,1.250,22,2015,9,Medio
8000,8000,2558,1.333,3411,0.237,2,2015,10,Mucho
5000,20000,6010,0.667,4007,0.000,5,2015,11,Medio
4286,60000,17741,2.000,35482,1.552,15,2015,12,Medio
0,0,0,0.000,0,0.000,0,2016,1,Nada
0,0,0,0.000,0,0.000,0,2016,2,Nada
0,0,0,0.000,0,0.000,0,2016,3,Nada
5000,20000,5293,1.000,5293,0.000,5,2016,4,Mucho
4000,56000,7864,1.474,11589,6.000,14,2016,5,Nada
6000,36000,5055,2.000,10111,1.421,9,2016,6,Mucho
4000,28000,4332,1.750,7582,0.000,7,2016,7,Mucho
5000,40000,6418,2.500,16045,0.800,10,2016,8,Mucho
0,0,0,0.000,0,0.000,0,2016,9,Nada
