KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
18000,126000,46000,3.333,153333,1.000,5,2013,12,Mucho
25200,201600,73600,2.286,168229,1.200,8,2014,1,Medio
19600,176400,64400,1.077,69354,1.154,7,2014,2,Medio
20160,100800,36800,0.667,24533,1.200,4,2014,3,Nada
25200,75600,27600,1.000,27600,0.632,3,2014,4,Medio
25200,25200,9200,0.667,6133,0.429,1,2014,5,Medio
0,0,0,0.000,0,0.375,0,2014,6,Nada
0,0,0,0.000,0,0.000,0,2014,7,Nada
25200,50400,18400,4.000,73600,0.000,2,2014,8,Mucho
25200,100800,36800,4.000,147200,1.500,4,2014,9,Mucho
25200,50400,18400,1.000,18400,0.500,2,2014,10,Mucho
28350,226800,82800,6.000,496800,1.125,9,2014,11,Medio
25000,75000,27000,0.000,0,0.000,3,2014,12,Nada
0,0,0,0.000,0,0.000,0,2015,1,Nada
25000,50000,18000,4.000,72000,0.000,2,2015,2,Mucho
25000,25000,9000,0.333,3000,0.600,1,2015,3,Nada
25000,100000,36000,1.333,48000,5.000,4,2015,4,Nada
0,0,0,0.000,0,0.429,0,2015,5,Nada
0,0,0,0.000,0,0.000,0,2015,6,Nada
0,0,0,0.000,0,0.000,0,2015,7,Nada
0,0,0,0.000,0,0.000,0,2015,8,Nada
0,0,0,0.000,0,0.000,0,2015,9,Nada
0,0,0,0.000,0,0.000,0,2015,10,Nada
25000,75000,27000,6.000,162000,0.000,3,2015,11,Mucho
25000,200000,72000,16.000,1152000,1.000,8,2015,12,Medio
0,0,0,0.000,0,0.000,0,2016,1,Nada
0,0,0,0.000,0,0.000,0,2016,2,Nada
0,0,0,0.000,0,0.000,0,2016,3,Nada
0,0,0,0.000,0,0.000,0,2016,4,Nada
0,0,0,0.000,0,0.000,0,2016,5,Nada
0,0,0,0.000,0,0.000,0,2016,6,Nada
0,0,0,0.000,0,0.000,0,2016,7,Nada
0,0,0,0.000,0,0.000,0,2016,8,Nada
0,0,0,0.000,0,0.000,0,2016,9,Nada
