KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
5000,5000,1812,0.222,403,1.800,1,2013,12,Nada
5000,15000,5435,0.667,3624,3.000,3,2014,1,Nada
5000,5000,1812,0.400,725,1.000,1,2014,2,Mucho
5000,5000,1812,0.667,1208,1.200,1,2014,3,Mucho
5000,5000,1812,0.333,604,0.600,1,2014,4,Nada
5000,10000,3624,0.500,1812,5.000,2,2014,5,Nada
5000,5000,1815,0.222,403,2.250,1,2014,6,Nada
5000,30000,10893,1.091,11883,4.500,6,2014,7,Nada
5000,15000,5446,0.400,2179,1.667,3,2014,8,Nada
5000,10000,3631,0.211,764,3.000,2,2014,9,Nada
5000,5000,1815,0.118,214,2.455,1,2014,10,Nada
5000,5000,1815,0.105,191,4.000,1,2014,11,Nada
5000,15000,5446,0.240,1307,8.250,3,2014,12,Nada
6818,75000,27232,1.765,48056,8.400,15,2015,1,Medio
5000,15000,5446,0.750,4085,0.474,3,2015,2,Medio
5000,15000,5446,0.857,4668,0.714,3,2015,3,Medio
5000,5000,1815,0.667,1210,0.286,1,2015,4,Medio
0,0,0,0.000,0,0.429,0,2015,5,Nada
0,0,0,0.000,0,0.750,0,2015,6,Nada
0,0,0,0.000,0,3.000,0,2015,7,Nada
5000,10000,3631,4.000,14524,1.000,2,2015,8,Medio
5000,15000,3038,0.857,2604,0.000,3,2015,9,Mucho
5000,25000,5064,1.111,5626,4.200,5,2015,10,Medio
0,0,0,0.000,0,0.600,0,2015,11,Nada
5000,40000,8102,1.455,11784,2.625,8,2015,12,Nada
5833,35000,6918,1.750,12107,0.923,7,2016,1,Mucho
5000,25000,4209,1.250,5261,0.800,5,2016,2,Medio
5000,15000,2525,0.600,1515,0.600,3,2016,3,Medio
5000,10000,1684,0.400,673,1.200,2,2016,4,Mucho
7500,15000,2525,0.600,1515,1.200,3,2016,5,Mucho
5000,15000,2525,0.667,1684,2.250,3,2016,6,Nada
5000,15000,2525,2.000,5051,1.125,3,2016,7,Medio
5000,30000,5051,2.000,10102,0.000,6,2016,8,Mucho
7500,30000,5051,1.000,5051,1.500,6,2016,9,Mucho
