KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
29231,760000,196909,1.310,258019,4.500,38,2013,12,Medio
24706,420000,108818,1.235,134422,1.448,21,2014,1,Medio
29524,620000,160636,2.138,343429,0.228,31,2014,2,Mucho
24918,1520000,393818,1.670,657806,0.767,76,2014,3,Medio
22195,1820000,471545,1.733,817345,1.594,91,2014,4,Medio
26444,2380000,616636,0.979,603948,0.561,119,2014,5,Mucho
23800,2380000,616636,0.812,500886,2.161,119,2014,6,Nada
27353,1860000,481909,2.138,1030288,0.793,93,2014,7,Medio
23774,1260000,326455,0.778,253909,0.000,63,2014,8,Medio
22727,1000000,259091,0.366,94905,1.767,50,2014,9,Nada
24444,660000,171000,0.349,59714,1.617,33,2014,10,Nada
22353,380000,98455,0.277,27309,1.603,19,2014,11,Nada
22703,840000,217636,1.200,261164,1.735,42,2014,12,Medio
41111,740000,199136,0.705,140344,0.351,37,2015,1,Medio
23000,460000,125998,0.280,35341,2.878,23,2015,2,Nada
24762,1040000,284569,0.929,264243,2.059,52,2015,3,Medio
22388,1500000,388636,0.602,234118,1.125,75,2015,4,Mucho
23830,2240000,580364,0.742,430468,4.140,112,2015,5,Medio
22195,1820000,471545,0.499,235127,1.192,91,2015,6,Mucho
24242,2400000,621818,0.571,355325,2.914,120,2015,7,Medio
23333,1260000,326455,0.597,194944,1.393,63,2015,8,Mucho
22619,1900000,390818,0.782,305578,0.668,95,2015,9,Nada
23810,1500000,306818,0.500,153409,1.964,75,2015,10,Nada
27636,1520000,310909,0.432,134256,1.519,76,2015,11,Nada
29302,1260000,257727,0.311,80182,2.854,63,2015,12,Nada
24762,520000,106364,0.096,10167,2.397,26,2016,1,Nada
27222,980000,200455,0.141,28184,6.782,49,2016,2,Nada
27500,2200000,450000,0.408,183673,7.043,110,2016,3,Medio
30141,2140000,437727,0.663,290011,3.486,107,2016,4,Medio
26839,4160000,789091,2.101,1657888,1.218,208,2016,5,Medio
22500,3060000,556364,0.725,403430,0.635,153,2016,6,Medio
26786,3000000,545455,0.585,318979,2.128,150,2016,7,Mucho
25913,2980000,541818,1.386,750985,1.063,149,2016,8,Medio
26761,1900000,345455,1.080,372934,0.226,95,2016,9,Mucho
