KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,Nada
4600,18400,6694,4.000,26774,0.000,4,2014,1,Mucho
4025,32200,11696,4.667,54583,1.500,7,2014,2,Medio
5750,23000,8355,5.000,41773,0.273,5,2014,3,Mucho
4600,4600,1671,0.333,557,0.188,1,2014,4,Nada
5520,27600,10038,1.200,12046,1.154,6,2014,5,Mucho
6133,18400,6709,0.727,4879,1.250,4,2014,6,Nada
6900,27600,10064,1.000,10064,1.636,6,2014,7,Nada
6900,13800,5032,0.667,3355,1.125,3,2014,8,Mucho
5914,41400,15095,1.286,19408,0.692,9,2014,9,Medio
5111,46000,16773,1.111,18636,1.833,10,2014,10,Medio
5750,23000,8386,0.588,4933,0.955,5,2014,11,Nada
4600,4600,1677,0.105,177,1.250,1,2014,12,Nada
4600,13800,5032,0.400,2013,1.688,3,2015,1,Nada
4600,4600,1677,0.182,305,2.000,1,2015,2,Nada
4600,23000,8386,1.000,8386,3.000,5,2015,3,Nada
4600,13800,5032,0.500,2516,1.667,3,2015,4,Nada
6133,36800,13418,2.667,35782,2.333,8,2015,5,Medio
0,0,0,0.000,0,-0.188,0,2015,6,Nada
4600,4600,1337,0.286,382,1.091,1,2015,7,Nada
6133,18400,5349,2.667,14264,1.000,4,2015,8,Mucho
6133,18400,5349,8.000,42793,0.000,4,2015,9,Mucho
4600,4600,1337,0.333,446,0.333,1,2015,10,Nada
4600,23000,6686,2.000,13373,1.667,5,2015,11,Nada
4600,9200,2675,2.000,5349,0.000,2,2015,12,Mucho
4600,27600,7798,1.714,13368,0.750,6,2016,1,Mucho
4600,18400,4447,1.333,5930,1.154,4,2016,2,Mucho
4600,4600,1112,2.000,2224,0.250,1,2016,3,Mucho
6133,36800,8895,8.000,71156,0.000,8,2016,4,Mucho
5750,23000,5559,2.500,13898,0.462,5,2016,5,Mucho
0,0,0,0.000,0,0.429,0,2016,6,Nada
13800,41400,10006,6.000,60038,0.692,9,2016,7,Medio
0,0,0,0.000,0,0.000,0,2016,8,Nada
4600,4600,1112,0.500,556,0.000,1,2016,9,Medio
