modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;
weka.classifiers.bayes.BayesNet;60.00;98.33;1.67;0.96;0.02;7.42;0.10;25.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.00;1.00;0.02;1.00;0.98;0.99;0.96;1.00;1.00;1.00;0.02;0.98;0.00;0.91;1.00;0.95;0.94;1.00;0.96;split;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayes;60.00;81.67;18.33;0.63;0.12;41.05;0.32;85.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.07;0.93;0.00;0.60;1.00;0.75;0.75;0.98;0.87;0.80;0.13;0.88;0.20;0.95;0.80;0.86;0.61;0.93;0.98;0.80;0.10;0.90;0.20;0.62;0.80;0.70;0.63;0.96;0.85;split;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;60.00;81.67;18.33;0.63;0.12;41.05;0.32;85.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.07;0.93;0.00;0.60;1.00;0.75;0.75;0.98;0.87;0.80;0.13;0.88;0.20;0.95;0.80;0.86;0.61;0.93;0.98;0.80;0.10;0.90;0.20;0.62;0.80;0.70;0.63;0.96;0.85;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.Logistic;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.MultilayerPerceptron;60.00;96.67;3.33;0.92;0.05;16.09;0.15;39.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.13;0.88;0.00;0.96;1.00;0.98;0.91;0.92;0.96;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.94;0.88;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SimpleLogistic;60.00;96.67;3.33;0.92;0.06;18.97;0.14;37.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.13;0.88;0.00;0.96;1.00;0.98;0.91;0.99;1.00;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.99;0.97;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SMO;60.00;93.33;6.67;0.83;0.24;81.55;0.30;79.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;1.00;0.33;1.00;0.67;0.80;0.80;0.92;0.73;1.00;0.25;0.75;0.00;0.92;1.00;0.96;0.83;0.88;0.92;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.96;0.87;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.OneR;60.00;83.33;16.67;0.49;0.11;38.23;0.33;88.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.63;0.38;0.00;0.81;1.00;0.90;0.55;0.69;0.81;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.17;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.DecisionTable;60.00;100.00;0.00;1.00;0.16;53.77;0.19;50.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.JRip;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.PART;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.ZeroR;60.00;73.33;26.67;0.00;0.27;94.05;0.38;100.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.10;1.00;1.00;0.00;0.00;0.73;1.00;0.85;0.00;0.50;0.73;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.17;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.DecisionStump;60.00;83.33;16.67;0.49;0.15;51.56;0.31;81.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.63;0.38;0.00;0.81;1.00;0.90;0.55;0.69;0.81;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.56;0.19;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.J48;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.LMT;60.00;96.67;3.33;0.92;0.06;18.97;0.14;37.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.13;0.88;0.00;0.96;1.00;0.98;0.91;0.99;1.00;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.99;0.97;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.RandomForest;60.00;100.00;0.00;1.00;0.01;4.78;0.04;11.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.RandomTree;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.trees.REPTree;60.00;83.33;16.67;0.49;0.15;51.56;0.31;81.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.63;0.38;0.00;0.81;1.00;0.90;0.55;0.69;0.81;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.56;0.19;split;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.BayesNet;60.00;95.00;5.00;0.88;0.04;14.52;0.16;43.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.93;0.00;1.00;0.07;1.00;0.93;0.97;0.88;0.99;1.00;1.00;0.06;0.94;0.00;0.81;1.00;0.90;0.87;1.00;0.98;split;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.NaiveBayes;60.00;90.00;10.00;0.76;0.07;26.42;0.23;64.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.89;0.07;0.93;0.11;0.98;0.89;0.93;0.77;0.95;0.99;0.92;0.11;0.89;0.08;0.71;0.92;0.80;0.75;0.95;0.83;split;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;60.00;90.00;10.00;0.76;0.07;26.42;0.23;64.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.89;0.07;0.93;0.11;0.98;0.89;0.93;0.77;0.95;0.99;0.92;0.11;0.89;0.08;0.71;0.92;0.80;0.75;0.95;0.83;split;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.Logistic;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.MultilayerPerceptron;60.00;96.67;3.33;0.91;0.05;19.26;0.15;40.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.90;0.25;1.00;0.13;0.87;0.00;0.96;1.00;0.98;0.91;0.97;0.99;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.SimpleLogistic;60.00;100.00;0.00;1.00;0.03;9.47;0.08;22.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.SMO;60.00;86.67;13.33;0.67;0.25;93.82;0.32;89.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.84;0.10;0.89;0.20;0.80;0.11;0.93;0.89;0.91;0.66;0.84;0.91;0.92;0.11;0.89;0.08;0.71;0.92;0.80;0.75;0.93;0.68;split;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.OneR;60.00;90.00;10.00;0.71;0.07;24.84;0.26;71.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.03;0.98;0.33;0.67;0.02;0.90;0.98;0.94;0.72;0.82;0.89;0.77;0.02;0.98;0.23;0.91;0.77;0.83;0.80;0.87;0.75;split;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.DecisionTable;60.00;95.00;5.00;0.87;0.13;47.82;0.20;56.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.57;0.05;0.98;0.13;0.87;0.02;0.96;0.98;0.97;0.86;0.94;0.96;1.00;0.02;0.98;0.00;0.93;1.00;0.96;0.95;0.99;0.91;split;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.JRip;60.00;98.33;1.67;0.96;0.02;6.82;0.10;28.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.07;0.93;0.00;0.98;1.00;0.99;0.96;0.97;0.98;0.92;0.00;1.00;0.08;1.00;0.92;0.96;0.95;0.96;0.94;split;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.PART;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.ZeroR;60.00;75.00;25.00;0.00;0.27;99.16;0.36;100.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.03;1.00;1.00;0.00;0.00;0.75;1.00;0.86;0.00;0.50;0.75;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.22;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.DecisionStump;60.00;75.00;25.00;0.00;0.18;67.73;0.31;84.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.72;0.06;1.00;1.00;0.00;0.00;0.75;1.00;0.86;0.00;0.79;0.89;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.86;0.50;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.J48;60.00;96.67;3.33;0.91;0.03;11.37;0.14;38.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.07;0.93;0.02;0.98;0.98;0.98;0.91;0.99;1.00;0.92;0.02;0.98;0.08;0.92;0.92;0.92;0.90;0.99;0.94;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.LMT;60.00;100.00;0.00;1.00;0.03;9.47;0.08;22.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.RandomForest;60.00;100.00;0.00;1.00;0.02;8.11;0.04;12.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.RandomTree;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.REPTree;60.00;88.33;11.67;0.66;0.12;46.49;0.25;70.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.72;0.06;0.98;0.40;0.60;0.02;0.88;0.98;0.93;0.67;0.87;0.92;0.69;0.02;0.98;0.31;0.90;0.69;0.78;0.74;0.95;0.78;split;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.BayesNet;59.00;93.22;6.78;0.88;0.05;17.29;0.16;43.33;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.09;0.91;0.00;0.78;1.00;0.88;0.84;1.00;1.00;0.89;0.00;1.00;0.11;1.00;0.89;0.94;0.87;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.bayes.NaiveBayes;59.00;86.44;13.56;0.75;0.08;28.16;0.19;52.25;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.86;0.09;0.91;0.14;0.75;0.86;0.80;0.74;0.99;0.97;0.87;0.14;0.86;0.13;0.92;0.87;0.89;0.71;0.97;0.98;0.75;0.02;0.98;0.25;0.75;0.75;0.75;0.73;1.00;0.95;split;KPI/MENSUAL/10067.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;59.00;86.44;13.56;0.75;0.08;28.16;0.19;52.25;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.86;0.09;0.91;0.14;0.75;0.86;0.80;0.74;0.99;0.97;0.87;0.14;0.86;0.13;0.92;0.87;0.89;0.71;0.97;0.98;0.75;0.02;0.98;0.25;0.75;0.75;0.75;0.73;1.00;0.95;split;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.Logistic;59.00;98.31;1.69;0.97;0.01;3.16;0.09;25.47;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.96;0.99;0.99;1.00;0.02;0.98;0.00;0.80;1.00;0.89;0.89;0.99;0.83;split;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.MultilayerPerceptron;59.00;100.00;0.00;1.00;0.02;5.71;0.03;8.25;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.SimpleLogistic;59.00;100.00;0.00;1.00;0.05;20.04;0.11;29.09;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.SMO;59.00;62.71;37.29;0.27;0.29;106.42;0.36;100.63;0.33;0.00;1.00;0.67;1.00;0.33;0.50;0.57;0.91;0.44;0.43;0.27;0.73;0.57;0.33;0.43;0.38;0.15;0.61;0.29;0.74;0.48;0.52;0.26;0.74;0.74;0.74;0.26;0.64;0.72;0.50;0.00;1.00;0.50;1.00;0.50;0.67;0.69;0.91;0.77;split;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.OneR;59.00;91.53;8.47;0.84;0.04;15.81;0.21;56.95;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.04;0.96;0.00;0.88;1.00;0.93;0.91;0.98;0.88;0.89;0.05;0.95;0.11;0.97;0.89;0.93;0.83;0.92;0.94;0.75;0.04;0.96;0.25;0.60;0.75;0.67;0.64;0.86;0.47;split;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.DecisionTable;59.00;98.31;1.69;0.97;0.18;68.09;0.23;63.07;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.93;0.00;1.00;0.07;1.00;0.93;0.96;0.95;0.98;0.97;1.00;0.05;0.95;0.00;0.97;1.00;0.99;0.96;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.JRip;59.00;98.31;1.69;0.97;0.01;3.16;0.09;25.47;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.96;0.99;0.99;1.00;0.02;0.98;0.00;0.80;1.00;0.89;0.89;0.99;0.80;split;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.PART;59.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.ZeroR;59.00;64.41;35.59;0.00;0.28;106.29;0.37;101.12;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.05;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.24;1.00;1.00;0.00;0.00;0.64;1.00;0.78;0.00;0.50;0.64;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.07;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.DecisionStump;59.00;84.75;15.25;0.69;0.17;64.13;0.26;72.90;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.86;0.16;1.00;0.11;0.89;0.00;0.74;1.00;0.85;0.81;0.94;0.74;0.95;0.19;0.81;0.05;0.90;0.95;0.92;0.78;0.88;0.89;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.67;0.10;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.J48;59.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.LMT;59.00;100.00;0.00;1.00;0.05;20.04;0.11;29.09;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.RandomForest;59.00;100.00;0.00;1.00;0.03;9.55;0.06;17.03;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.RandomTree;59.00;98.31;1.69;0.97;0.01;3.16;0.09;25.47;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.96;0.99;0.99;1.00;0.02;0.98;0.00;0.80;1.00;0.89;0.89;0.99;0.80;split;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.REPTree;59.00;91.53;8.47;0.85;0.06;21.85;0.17;45.65;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.87;0.00;1.00;0.13;1.00;0.87;0.93;0.84;0.99;0.99;1.00;0.09;0.91;0.00;0.44;1.00;0.62;0.64;0.95;0.44;split;KPI/MENSUAL/10067.csv;
weka.classifiers.bayes.BayesNet;59.00;100.00;0.00;1.00;0.00;0.72;0.01;1.80;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10074.csv;
weka.classifiers.bayes.NaiveBayes;59.00;91.53;8.47;0.85;0.07;22.83;0.21;57.14;0.89;0.00;1.00;0.11;1.00;0.89;0.94;0.93;0.99;0.97;0.94;0.13;0.87;0.06;0.92;0.94;0.93;0.82;0.95;0.95;0.83;0.04;0.96;0.17;0.83;0.83;0.83;0.79;0.97;0.93;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10074.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;59.00;91.53;8.47;0.85;0.07;22.83;0.21;57.14;0.89;0.00;1.00;0.11;1.00;0.89;0.94;0.93;0.99;0.97;0.94;0.13;0.87;0.06;0.92;0.94;0.93;0.82;0.95;0.95;0.83;0.04;0.96;0.17;0.83;0.83;0.83;0.79;0.97;0.93;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10074.csv;
weka.classifiers.functions.Logistic;59.00;96.61;3.39;0.94;0.02;5.97;0.13;34.71;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.94;0.00;1.00;0.06;1.00;0.94;0.97;0.93;1.00;1.00;1.00;0.04;0.96;0.00;0.86;1.00;0.92;0.91;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10074.csv;
weka.classifiers.functions.MultilayerPerceptron;59.00;96.61;3.39;0.94;0.05;17.74;0.15;39.30;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.94;0.00;1.00;0.06;1.00;0.94;0.97;0.93;0.96;0.98;1.00;0.04;0.96;0.00;0.86;1.00;0.92;0.91;0.96;0.79;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/10074.csv;
