modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;
weka.classifiers.rules.ZeroR;60.00;40.00;60.00;0.00;0.29;104.69;0.38;102.46;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;1.00;1.00;0.00;0.00;0.40;1.00;0.57;0.00;0.50;0.40;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.53;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.07;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.DecisionStump;60.00;76.67;23.33;0.55;0.20;69.32;0.31;83.92;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;0.75;0.11;0.89;0.25;0.82;0.75;0.78;0.65;0.82;0.71;0.88;0.36;0.64;0.13;0.74;0.88;0.80;0.54;0.76;0.71;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.70;0.11;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.J48;60.00;95.00;5.00;0.91;0.03;8.87;0.16;42.57;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;0.96;0.06;0.94;0.04;0.92;0.96;0.94;0.90;0.95;0.90;0.94;0.04;0.96;0.06;0.97;0.94;0.95;0.90;0.95;0.94;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.LMT;60.00;95.00;5.00;0.91;0.06;20.04;0.18;49.02;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;0.96;0.06;0.94;0.04;0.92;0.96;0.94;0.90;0.95;0.93;0.94;0.04;0.96;0.06;0.97;0.94;0.95;0.90;0.95;0.96;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.RandomForest;60.00;96.67;3.33;0.94;0.04;13.37;0.11;30.06;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;1.00;0.06;0.94;0.00;0.92;1.00;0.96;0.93;1.00;1.00;0.94;0.00;1.00;0.06;1.00;0.94;0.97;0.94;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.RandomTree;60.00;96.67;3.33;0.94;0.02;5.91;0.13;34.76;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;1.00;0.06;0.94;0.00;0.92;1.00;0.96;0.93;0.97;0.92;0.94;0.00;1.00;0.06;1.00;0.94;0.97;0.94;0.97;0.97;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/852.csv;
weka.classifiers.trees.REPTree;60.00;75.00;25.00;0.55;0.16;55.50;0.31;82.87;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;0.79;0.08;0.92;0.21;0.86;0.79;0.83;0.72;0.87;0.77;0.78;0.29;0.71;0.22;0.76;0.78;0.77;0.50;0.79;0.74;0.25;0.07;0.93;0.75;0.20;0.25;0.22;0.16;0.74;0.13;split;KPI/MENSUAL/852.csv;
weka.classifiers.bayes.BayesNet;60.00;71.67;28.33;0.58;0.13;41.34;0.35;87.71;0.73;0.20;0.80;0.27;0.44;0.73;0.55;0.44;0.94;0.87;0.61;0.08;0.92;0.39;0.82;0.61;0.70;0.57;0.96;0.94;0.81;0.06;0.94;0.19;0.91;0.81;0.86;0.76;0.99;0.99;0.00;0.03;0.97;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.bayes.NaiveBayes;60.00;90.00;10.00;0.85;0.07;21.21;0.22;55.90;1.00;0.12;0.88;0.00;0.65;1.00;0.79;0.75;1.00;1.00;0.87;0.00;1.00;0.13;1.00;0.87;0.93;0.90;0.97;0.97;0.88;0.00;1.00;0.12;1.00;0.88;0.94;0.90;0.99;0.99;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;60.00;90.00;10.00;0.85;0.07;21.21;0.22;55.90;1.00;0.12;0.88;0.00;0.65;1.00;0.79;0.75;1.00;1.00;0.87;0.00;1.00;0.13;1.00;0.87;0.93;0.90;0.97;0.97;0.88;0.00;1.00;0.12;1.00;0.88;0.94;0.90;0.99;0.99;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.functions.Logistic;60.00;96.67;3.33;0.95;0.02;5.22;0.13;32.48;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.99;0.98;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.96;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.functions.MultilayerPerceptron;60.00;96.67;3.33;0.95;0.03;9.80;0.13;32.94;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.97;0.97;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.98;0.97;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.functions.SimpleLogistic;60.00;96.67;3.33;0.95;0.03;8.07;0.14;35.07;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;1.00;1.00;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.99;0.99;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.functions.SMO;60.00;81.67;18.33;0.70;0.27;83.02;0.34;84.37;0.45;0.00;1.00;0.55;1.00;0.45;0.63;0.64;0.94;0.74;0.91;0.24;0.76;0.09;0.70;0.91;0.79;0.65;0.85;0.68;0.88;0.06;0.94;0.12;0.92;0.88;0.90;0.83;0.95;0.89;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.rules.OneR;60.00;88.33;11.67;0.81;0.06;18.26;0.24;60.76;0.73;0.00;1.00;0.27;1.00;0.73;0.84;0.83;0.86;0.78;0.83;0.05;0.95;0.17;0.90;0.83;0.86;0.79;0.89;0.81;1.00;0.15;0.85;0.00;0.84;1.00;0.91;0.85;0.93;0.84;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.rules.DecisionTable;60.00;93.33;6.67;0.89;0.11;34.94;0.19;47.91;0.82;0.00;1.00;0.18;1.00;0.82;0.90;0.89;0.94;0.87;0.91;0.05;0.95;0.09;0.91;0.91;0.91;0.86;0.96;0.90;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;1.00;0.99;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.rules.JRip;60.00;91.67;8.33;0.87;0.04;13.79;0.20;49.37;0.73;0.00;1.00;0.27;1.00;0.73;0.84;0.83;0.98;0.89;0.91;0.08;0.92;0.09;0.88;0.91;0.89;0.83;0.94;0.91;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.rules.PART;60.00;96.67;3.33;0.95;0.02;5.22;0.13;32.48;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.96;0.95;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.rules.ZeroR;60.00;43.33;56.67;0.00;0.32;100.31;0.40;100.43;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.18;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.38;1.00;1.00;0.00;0.00;0.43;1.00;0.60;0.00;0.50;0.43;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.DecisionStump;60.00;78.33;21.67;0.63;0.17;52.07;0.28;71.60;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.79;0.34;0.91;0.30;0.70;0.09;0.66;0.91;0.76;0.60;0.81;0.63;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.J48;60.00;96.67;3.33;0.95;0.02;5.22;0.13;32.48;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.96;0.95;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.LMT;60.00;96.67;3.33;0.95;0.03;8.07;0.14;35.07;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;1.00;1.00;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.99;0.99;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.RandomForest;60.00;96.67;3.33;0.95;0.04;11.92;0.14;34.88;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.98;0.98;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.RandomTree;60.00;96.67;3.33;0.95;0.02;5.22;0.13;32.48;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.00;1.00;0.09;1.00;0.91;0.95;0.93;0.96;0.95;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.trees.REPTree;60.00;88.33;11.67;0.81;0.07;22.94;0.23;58.14;0.55;0.00;1.00;0.45;1.00;0.55;0.71;0.70;0.91;0.74;0.91;0.14;0.86;0.09;0.81;0.91;0.86;0.76;0.89;0.78;1.00;0.06;0.94;0.00;0.93;1.00;0.96;0.93;0.97;0.93;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;NaN;NaN;split;KPI/MENSUAL/854.csv;
weka.classifiers.bayes.BayesNet;60.00;93.33;6.67;0.89;0.05;12.60;0.20;44.26;0.95;0.00;1.00;0.05;1.00;0.95;0.97;0.96;1.00;1.00;1.00;0.13;0.87;0.00;0.88;1.00;0.94;0.87;0.95;0.94;0.73;0.00;1.00;0.27;1.00;0.73;0.84;0.83;0.84;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.bayes.NaiveBayes;60.00;85.00;15.00;0.75;0.11;26.31;0.30;66.66;0.90;0.00;1.00;0.10;1.00;0.90;0.95;0.93;0.99;0.98;0.90;0.19;0.81;0.10;0.81;0.90;0.85;0.70;0.94;0.94;0.64;0.06;0.94;0.36;0.70;0.64;0.67;0.60;0.95;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;60.00;85.00;15.00;0.75;0.11;26.31;0.30;66.66;0.90;0.00;1.00;0.10;1.00;0.90;0.95;0.93;0.99;0.98;0.90;0.19;0.81;0.10;0.81;0.90;0.85;0.70;0.94;0.94;0.64;0.06;0.94;0.36;0.70;0.64;0.67;0.60;0.95;0.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.functions.Logistic;60.00;95.00;5.00;0.92;0.03;8.02;0.18;40.10;0.95;0.00;1.00;0.05;1.00;0.95;0.97;0.96;0.97;0.97;1.00;0.06;0.94;0.00;0.94;1.00;0.97;0.94;0.96;0.93;0.82;0.02;0.98;0.18;0.90;0.82;0.86;0.83;0.93;0.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.functions.MultilayerPerceptron;60.00;91.67;8.33;0.87;0.08;19.36;0.23;51.22;0.95;0.00;1.00;0.05;1.00;0.95;0.97;0.96;0.96;0.97;0.93;0.10;0.90;0.07;0.90;0.93;0.92;0.83;0.93;0.89;0.82;0.04;0.96;0.18;0.82;0.82;0.82;0.78;0.93;0.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.functions.SimpleLogistic;60.00;85.00;15.00;0.75;0.14;33.24;0.29;63.67;0.90;0.00;1.00;0.10;1.00;0.90;0.95;0.93;0.99;0.98;0.90;0.19;0.81;0.10;0.81;0.90;0.85;0.70;0.91;0.91;0.64;0.06;0.94;0.36;0.70;0.64;0.67;0.60;0.88;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.functions.SMO;60.00;76.67;23.33;0.60;0.30;72.14;0.38;84.19;0.90;0.00;1.00;0.10;1.00;0.90;0.95;0.93;0.95;0.90;0.90;0.35;0.65;0.10;0.70;0.90;0.79;0.56;0.76;0.68;0.18;0.06;0.94;0.82;0.40;0.18;0.25;0.17;0.69;0.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.rules.OneR;60.00;85.00;15.00;0.76;0.10;24.05;0.32;69.46;0.70;0.00;1.00;0.30;1.00;0.70;0.82;0.78;0.85;0.80;0.93;0.16;0.84;0.07;0.84;0.93;0.89;0.77;0.88;0.82;0.91;0.08;0.92;0.09;0.71;0.91;0.80;0.76;0.91;0.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.rules.DecisionTable;60.00;88.33;11.67;0.81;0.17;41.66;0.24;53.41;0.95;0.10;0.90;0.05;0.83;0.95;0.88;0.82;0.99;0.98;0.90;0.10;0.90;0.10;0.90;0.90;0.90;0.80;0.97;0.95;0.73;0.00;1.00;0.27;1.00;0.73;0.84;0.83;0.93;0.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
weka.classifiers.rules.JRip;60.00;93.33;6.67;0.89;0.05;12.17;0.21;45.53;0.95;0.00;1.00;0.05;1.00;0.95;0.97;0.96;0.98;0.97;1.00;0.13;0.87;0.00;0.88;1.00;0.94;0.87;0.94;0.88;0.73;0.00;1.00;0.27;1.00;0.73;0.84;0.83;0.92;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;split;KPI/MENSUAL/8554.csv;
