modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;
weka.classifiers.rules.PART;150.00;99.33;0.67;0.98;0.00;1.67;0.07;18.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.00;1.00;0.01;1.00;0.99;1.00;0.98;1.00;1.00;1.00;0.01;0.99;0.00;0.95;1.00;0.97;0.97;1.00;0.95;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.rules.ZeroR;150.00;76.00;24.00;0.00;0.27;100.00;0.36;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.45;0.11;1.00;1.00;0.00;0.00;0.76;1.00;0.86;0.00;0.46;0.74;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.45;0.11;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.DecisionStump;150.00;88.00;12.00;0.62;0.14;51.88;0.26;72.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.00;0.86;1.00;0.93;0.66;0.72;0.85;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.52;0.12;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.J48;150.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.LMT;150.00;98.00;2.00;0.95;0.03;12.26;0.12;32.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.95;1.00;1.00;1.00;0.02;0.98;0.00;0.86;1.00;0.92;0.92;0.99;0.95;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.RandomForest;150.00;100.00;0.00;1.00;0.01;3.85;0.03;9.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.RandomTree;150.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.trees.REPTree;150.00;92.67;7.33;0.82;0.05;18.29;0.18;50.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.94;0.11;0.89;0.06;0.96;0.94;0.95;0.81;0.99;1.00;0.78;0.05;0.95;0.22;0.67;0.78;0.72;0.68;0.98;0.85;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.BayesNet;150.00;96.67;3.33;0.92;0.03;10.26;0.13;37.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.96;0.00;1.00;0.04;1.00;0.96;0.98;0.92;0.99;1.00;1.00;0.04;0.96;0.00;0.87;1.00;0.93;0.91;0.99;0.95;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.NaiveBayes;150.00;88.00;12.00;0.72;0.09;35.80;0.26;72.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.88;0.11;0.89;0.13;0.96;0.88;0.92;0.72;0.94;0.98;0.88;0.12;0.88;0.12;0.68;0.88;0.77;0.70;0.94;0.80;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;150.00;88.00;12.00;0.72;0.09;35.80;0.26;72.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.88;0.11;0.89;0.13;0.96;0.88;0.92;0.72;0.94;0.98;0.88;0.12;0.88;0.12;0.68;0.88;0.77;0.70;0.94;0.80;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.Logistic;150.00;98.67;1.33;0.97;0.01;3.36;0.09;26.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.01;0.99;0.00;0.67;1.00;0.80;0.81;1.00;1.00;0.98;0.00;1.00;0.02;1.00;0.98;0.99;0.97;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.MultilayerPerceptron;150.00;96.00;4.00;0.89;0.05;17.48;0.15;42.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.78;0.30;1.00;0.16;0.84;0.00;0.95;1.00;0.97;0.89;0.92;0.96;0.94;0.00;1.00;0.06;1.00;0.94;0.97;0.96;0.95;0.96;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.SimpleLogistic;150.00;97.33;2.67;0.93;0.04;16.66;0.12;33.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.05;0.95;0.02;0.98;0.98;0.98;0.93;1.00;1.00;0.94;0.02;0.98;0.06;0.94;0.94;0.94;0.92;1.00;0.99;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.functions.SMO;150.00;90.00;10.00;0.75;0.24;92.43;0.31;85.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.85;0.08;0.92;0.16;0.84;0.08;0.94;0.92;0.93;0.74;0.88;0.93;0.94;0.08;0.92;0.06;0.78;0.94;0.85;0.81;0.94;0.75;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.OneR;150.00;89.33;10.67;0.71;0.07;26.89;0.27;73.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.03;0.95;0.26;0.74;0.05;0.91;0.95;0.93;0.71;0.84;0.90;0.82;0.05;0.95;0.18;0.82;0.82;0.82;0.77;0.89;0.72;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.DecisionTable;150.00;98.00;2.00;0.95;0.11;39.71;0.16;43.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.03;0.97;0.02;0.99;0.98;0.99;0.95;0.99;1.00;0.97;0.02;0.98;0.03;0.94;0.97;0.96;0.94;0.99;0.99;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.JRip;150.00;96.00;4.00;0.90;0.03;10.23;0.16;43.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.96;0.05;0.95;0.04;0.98;0.96;0.97;0.90;0.99;1.00;0.94;0.03;0.97;0.06;0.89;0.94;0.91;0.89;0.99;0.97;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.PART;150.00;98.00;2.00;0.95;0.01;5.32;0.11;31.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.03;0.97;0.02;0.99;0.98;0.99;0.95;1.00;1.00;0.97;0.02;0.98;0.03;0.94;0.97;0.96;0.94;1.00;0.99;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.rules.ZeroR;150.00;74.67;25.33;0.00;0.26;100.00;0.36;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.19;0.03;1.00;1.00;0.00;0.00;0.75;1.00;0.85;0.00;0.47;0.74;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.45;0.21;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.DecisionStump;150.00;72.00;28.00;0.03;0.19;73.45;0.31;86.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.60;0.04;0.94;0.92;0.08;0.06;0.75;0.94;0.83;0.03;0.72;0.87;0.09;0.06;0.94;0.91;0.30;0.09;0.14;0.05;0.80;0.41;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.J48;150.00;94.67;5.33;0.87;0.04;13.63;0.18;50.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.95;0.05;0.95;0.05;0.98;0.95;0.96;0.87;0.98;0.99;0.94;0.05;0.95;0.06;0.84;0.94;0.89;0.86;0.98;0.92;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.LMT;150.00;98.00;2.00;0.95;0.03;11.63;0.12;33.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.03;0.97;0.02;0.99;0.98;0.99;0.95;0.99;1.00;0.97;0.02;0.98;0.03;0.94;0.97;0.96;0.94;0.99;0.94;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.RandomForest;150.00;100.00;0.00;1.00;0.02;6.71;0.06;16.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.RandomTree;150.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.trees.REPTree;150.00;94.67;5.33;0.87;0.04;16.56;0.18;49.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.95;0.05;0.95;0.05;0.98;0.95;0.96;0.87;0.97;0.99;0.94;0.05;0.95;0.06;0.84;0.94;0.89;0.86;0.97;0.90;crossEstratificado;KPI/MENSUAL/10066.csv;
weka.classifiers.bayes.BayesNet;148.00;93.92;6.08;0.89;0.04;15.00;0.16;42.07;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.92;0.03;0.97;0.08;0.92;0.92;0.92;0.90;0.98;0.97;0.97;0.10;0.90;0.03;0.93;0.97;0.95;0.87;0.98;0.98;0.77;0.00;1.00;0.23;1.00;0.77;0.87;0.87;0.99;0.95;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.bayes.NaiveBayes;148.00;91.89;8.11;0.85;0.06;19.74;0.16;42.93;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.85;0.02;0.98;0.15;0.94;0.85;0.89;0.86;1.00;0.99;0.97;0.15;0.85;0.03;0.90;0.97;0.93;0.83;0.97;0.98;0.77;0.01;0.99;0.23;0.91;0.77;0.83;0.82;1.00;0.98;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;148.00;91.89;8.11;0.85;0.06;19.74;0.16;42.93;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.85;0.02;0.98;0.15;0.94;0.85;0.89;0.86;1.00;0.99;0.97;0.15;0.85;0.03;0.90;0.97;0.93;0.83;0.97;0.98;0.77;0.01;0.99;0.23;0.91;0.77;0.83;0.82;1.00;0.98;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.Logistic;148.00;99.32;0.68;0.99;0.00;1.18;0.06;15.44;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.00;1.00;0.01;1.00;0.99;0.99;0.99;0.99;1.00;1.00;0.01;0.99;0.00;0.93;1.00;0.96;0.96;0.99;0.93;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.MultilayerPerceptron;148.00;95.95;4.05;0.93;0.02;7.78;0.08;20.77;0.75;0.00;1.00;0.25;1.00;0.75;0.86;0.86;1.00;1.00;1.00;0.02;0.98;0.00;0.95;1.00;0.98;0.97;1.00;1.00;1.00;0.07;0.93;0.00;0.96;1.00;0.98;0.94;1.00;1.00;0.69;0.00;1.00;0.31;1.00;0.69;0.82;0.82;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.SimpleLogistic;148.00;99.32;0.68;0.99;0.03;10.90;0.07;19.17;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.98;1.00;1.00;1.00;0.02;0.98;0.00;0.99;1.00;0.99;0.99;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.functions.SMO;148.00;71.62;28.38;0.40;0.28;97.26;0.35;94.01;0.63;0.00;1.00;0.38;1.00;0.63;0.77;0.78;0.94;0.68;0.21;0.05;0.95;0.79;0.62;0.21;0.31;0.25;0.62;0.35;0.98;0.62;0.38;0.02;0.70;0.98;0.82;0.47;0.68;0.70;0.54;0.00;1.00;0.46;1.00;0.54;0.70;0.72;0.88;0.66;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.OneR;148.00;86.49;13.51;0.76;0.07;23.63;0.26;69.04;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.92;0.08;0.92;0.08;0.80;0.92;0.86;0.80;0.92;0.76;0.88;0.15;0.85;0.13;0.90;0.88;0.89;0.72;0.86;0.86;0.54;0.01;0.99;0.46;0.78;0.54;0.64;0.62;0.76;0.46;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.DecisionTable;148.00;93.24;6.76;0.88;0.18;61.66;0.24;63.14;0.75;0.01;0.99;0.25;0.86;0.75;0.80;0.79;1.00;0.93;0.92;0.02;0.98;0.08;0.95;0.92;0.94;0.91;0.99;0.98;1.00;0.12;0.88;0.00;0.93;1.00;0.96;0.90;0.98;0.98;0.62;0.00;1.00;0.38;1.00;0.62;0.76;0.77;0.97;0.86;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.JRip;148.00;100.00;0.00;1.00;0.00;0.18;0.01;1.68;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.PART;148.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.rules.ZeroR;148.00;59.46;40.54;0.00;0.29;100.00;0.38;100.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.40;0.05;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.48;0.25;1.00;1.00;0.00;0.00;0.59;1.00;0.75;0.00;0.49;0.59;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.41;0.07;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.DecisionStump;148.00;77.70;22.30;0.57;0.18;63.11;0.30;80.04;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.79;0.12;0.92;0.16;0.84;0.08;0.68;0.92;0.78;0.70;0.84;0.60;0.90;0.27;0.73;0.10;0.83;0.90;0.86;0.65;0.77;0.77;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.63;0.11;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.J48;148.00;99.32;0.68;0.99;0.00;1.18;0.06;15.44;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.00;1.00;0.01;1.00;0.99;0.99;0.99;0.99;1.00;1.00;0.01;0.99;0.00;0.93;1.00;0.96;0.96;1.00;0.93;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.LMT;148.00;99.32;0.68;0.99;0.03;10.90;0.07;19.17;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.98;1.00;1.00;1.00;0.02;0.98;0.00;0.99;1.00;0.99;0.99;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
weka.classifiers.trees.RandomForest;148.00;100.00;0.00;1.00;0.01;4.54;0.04;9.70;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/10067.csv;
