KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
3792,91000,34225,1.368,46835,1.378,26,2013,12,23,Medio
3694,66500,25011,1.652,41322,1.000,19,2013,12,24,Mucho
3719,59500,22378,2.267,50724,0.094,17,2014,1,1,Mucho
3500,66500,25011,1.027,25687,0.629,19,2014,1,2,Mucho
4030,133000,50022,1.900,95041,1.309,38,2014,2,3,Medio
3769,49000,18429,1.556,28667,0.649,14,2014,2,4,Medio
3500,3500,1316,0.667,878,0.085,1,2014,3,5,Medio
3500,38500,14480,0.688,9955,0.057,11,2014,3,6,Medio
3500,80500,30276,1.179,35711,3.577,23,2014,4,7,Nada
3500,28000,10531,2.000,21062,0.686,8,2014,4,8,Medio
3500,17500,6582,0.400,2633,0.000,5,2014,5,9,Medio
3500,49000,13364,0.778,10394,2.083,14,2014,5,10,Nada
3684,70000,19091,1.250,23864,1.222,20,2014,6,11,Mucho
4594,73500,20045,2.000,40091,1.615,21,2014,6,12,Nada
0,0,0,0.000,0,0.000,0,2014,7,13,Nada
5250,63000,17182,3.000,51545,0.000,18,2014,7,14,Mucho
4250,59500,16227,1.097,17798,0.923,17,2014,8,15,Mucho
4667,98000,26727,2.545,68033,1.629,28,2014,8,16,Medio
4577,59500,16227,34.000,551727,0.143,17,2014,9,17,Mucho
3889,70000,19091,2.857,54545,-0.097,20,2014,9,18,Mucho
4083,49000,13364,0.467,6236,0.738,14,2014,10,19,Mucho
3957,91000,24818,0.839,20815,2.588,26,2014,10,20,Medio
3920,98000,26727,1.474,39388,0.900,28,2014,11,21,Medio
3635,94500,25773,1.256,32366,0.882,27,2014,11,22,Medio
4167,87500,23864,2.381,56818,0.852,25,2014,12,23,Medio
4000,84000,22909,24.000,549818,-0.075,24,2014,12,24,Mucho
4712,122500,33409,5.385,179895,0.158,35,2015,1,1,Mucho
3500,98000,26727,1.120,29935,0.321,28,2015,1,2,Mucho
3769,98000,26727,1.037,27717,1.414,28,2015,2,3,Medio
4455,49000,13364,2.333,31182,0.429,14,2015,2,4,Mucho
3938,63000,17182,3.600,61855,-0.043,18,2015,3,5,Mucho
3500,42000,11455,2.400,27491,0.550,12,2015,3,6,Mucho
3500,59500,16227,3.091,50157,-0.068,17,2015,4,7,Mucho
3500,42000,11455,0.571,6545,0.766,12,2015,4,8,Mucho
3500,42000,11455,0.500,5727,2.195,12,2015,5,9,Nada
4000,28000,7636,0.348,2656,1.317,8,2015,5,10,Nada
3500,45500,12409,0.605,7503,2.625,13,2015,6,11,Nada
4136,45500,12409,1.529,18979,1.364,13,2015,6,12,Medio
4200,42000,11455,1.091,12496,0.176,12,2015,7,13,Mucho
3500,17500,4773,0.286,1364,1.579,5,2015,7,14,Nada
3733,56000,15273,0.727,11107,1.500,16,2015,8,15,Nada
3500,38500,10500,0.468,4915,2.636,11,2015,8,16,Nada
3500,49000,13364,0.609,8134,1.688,14,2015,9,17,Nada
3750,52500,14318,0.462,6608,2.049,15,2015,9,18,Nada
3500,31500,8591,0.277,2379,2.775,9,2015,10,19,Nada
3652,84000,22909,0.774,17736,2.211,24,2015,10,20,Medio
3500,7000,1909,0.061,116,2.125,2,2015,11,21,Nada
3500,45500,12409,0.377,4676,2.743,13,2015,11,22,Nada
3659,80500,21955,0.667,14636,2.846,23,2015,12,23,Medio
4235,72000,26182,0.474,12402,2.526,18,2015,12,24,Medio
4571,32000,11636,0.154,1790,2.444,8,2016,1,1,Nada
4211,80000,29091,0.400,11636,3.673,20,2016,1,2,Medio
4444,40000,14545,0.200,2909,2.609,10,2016,2,3,Nada
4500,72000,26182,0.353,9241,4.737,18,2016,2,4,Nada
4000,28000,10182,0.200,2036,2.625,7,2016,3,5,Nada
4500,36000,13091,0.234,3060,2.400,9,2016,3,6,Nada
4286,60000,21818,0.361,7886,4.324,15,2016,4,7,Nada
4000,44000,16000,0.386,6175,3.290,11,2016,4,8,Nada
4000,24000,8727,0.300,2618,1.971,6,2016,5,9,Nada
5000,60000,21818,0.811,17690,1.594,15,2016,5,10,Nada
4000,28000,10182,0.424,4320,1.875,7,2016,6,11,Nada
4000,28000,10182,0.538,5483,1.393,7,2016,6,12,Mucho
3200,16000,5818,0.136,789,1.345,4,2016,7,13,Nada
4727,52000,18909,0.268,5068,7.667,13,2016,7,14,Nada
4000,24000,8727,0.125,1091,6.375,6,2016,8,15,Nada
4000,32000,11636,0.170,1981,5.870,8,2016,8,16,Nada
4000,32000,11636,0.178,2069,5.444,8,2016,9,17,Nada
4000,44000,16000,0.306,4889,5.591,11,2016,9,18,Nada
