KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
5200,20800,6567,2.000,13135,6.000,4,2013,12,23,Nada
0,0,0,0.000,0,0.000,0,2013,12,24,Nada
0,0,0,0.000,0,0.000,0,2014,1,1,Nada
0,0,0,0.000,0,0.000,0,2014,1,2,Nada
5200,10400,3284,0.400,1313,1.000,2,2014,2,3,Mucho
5200,5200,1642,0.286,469,6.000,1,2014,2,4,Nada
0,0,0,0.000,0,3.000,0,2014,3,5,Nada
0,0,0,0.000,0,3.000,0,2014,3,6,Nada
0,0,0,0.000,0,9.000,0,2014,4,7,Nada
0,0,0,0.000,0,1.000,0,2014,4,8,Nada
5200,10400,3284,1.000,3284,1.000,2,2014,5,9,Medio
5200,10400,3284,0.667,2189,1.500,2,2014,5,10,Mucho
5200,5200,1642,0.222,365,3.750,1,2014,6,11,Nada
5200,15600,4925,1.200,5911,2.400,3,2014,6,12,Medio
5200,5200,1642,2.000,3284,0.500,1,2014,7,13,Mucho
5200,5200,1642,0.400,657,0.000,1,2014,7,14,Medio
5200,10400,3284,0.500,1642,3.000,2,2014,8,15,Nada
5200,10400,3284,0.400,1313,2.250,2,2014,8,16,Nada
10400,10400,3284,0.333,1095,4.200,2,2014,9,17,Nada
5200,20800,6567,1.143,7505,2.500,4,2014,9,18,Nada
0,0,0,0.000,0,0.750,0,2014,10,19,Nada
5200,5200,1642,0.667,1095,1.000,1,2014,10,20,Mucho
5200,20800,6567,4.000,26269,0.600,4,2014,11,21,Mucho
5200,5200,1642,2.000,3284,0.600,1,2014,11,22,Mucho
0,0,0,0.000,0,0.000,0,2014,12,23,Nada
0,0,0,0.000,0,0.000,0,2014,12,24,Nada
0,0,0,0.000,0,0.000,0,2015,1,1,Nada
5200,20800,6567,4.000,26269,0.000,4,2015,1,2,Mucho
5200,10400,3284,2.000,6567,1.500,2,2015,2,3,Medio
0,0,0,0.000,0,0.000,0,2015,2,4,Nada
5200,15600,4925,3.000,14776,0.000,3,2015,3,5,Mucho
5200,10400,3284,2.000,6567,1.200,2,2015,3,6,Medio
0,0,0,0.000,0,0.000,0,2015,4,7,Nada
5200,10400,3284,1.333,4378,0.000,2,2015,4,8,Mucho
5200,15600,4925,2.000,9851,2.250,3,2015,5,9,Medio
0,0,0,0.000,0,0.000,0,2015,5,10,Nada
0,0,0,0.000,0,0.000,0,2015,6,11,Nada
5200,10400,2925,0.500,1463,0.000,2,2015,6,12,Medio
5200,10400,2925,0.286,836,12.000,2,2015,7,13,Nada
5200,20800,5851,1.000,5851,4.500,4,2015,7,14,Nada
5200,10400,2925,2.000,5851,0.750,2,2015,8,15,Medio
0,0,0,0.000,0,0.000,0,2015,8,16,Nada
0,0,0,0.000,0,0.000,0,2015,9,17,Nada
0,0,0,0.000,0,0.000,0,2015,9,18,Nada
0,0,0,0.000,0,0.000,0,2015,10,19,Nada
0,0,0,0.000,0,0.000,0,2015,10,20,Nada
5200,10400,2420,1.000,2420,0.000,2,2015,11,21,Mucho
5200,10400,2420,0.667,1613,6.000,2,2015,11,22,Nada
6933,20800,4840,1.000,4840,1.500,4,2015,12,23,Mucho
6933,20800,4840,1.000,4840,2.250,4,2015,12,24,Nada
5200,5200,1210,0.222,269,0.600,1,2016,1,1,Nada
5200,15600,3630,0.545,1980,2.333,3,2016,1,2,Nada
6240,31200,7260,2.400,17424,1.500,6,2016,2,3,Medio
0,0,0,0.000,0,0.300,0,2016,2,4,Nada
5200,5200,1210,2.000,2420,0.333,1,2016,3,5,Mucho
6933,20800,6545,1.333,8727,0.000,4,2016,3,6,Mucho
5200,10400,3273,0.400,1309,3.600,2,2016,4,7,Nada
5200,20800,6545,2.000,13091,1.714,4,2016,4,8,Nada
0,0,0,0.000,0,0.000,0,2016,5,9,Nada
5200,15600,4909,0.857,4208,0.000,3,2016,5,10,Mucho
5200,26000,8182,1.111,9091,3.000,5,2016,6,11,Nada
0,0,0,0.000,0,0.750,0,2016,6,12,Nada
5200,5200,1636,0.400,655,0.750,1,2016,7,13,Mucho
5200,10400,3273,1.000,3273,1.500,2,2016,7,14,Medio
0,0,0,0.000,0,1.000,0,2016,8,15,Nada
5200,5200,1636,0.182,298,1.000,1,2016,8,16,Nada
5200,41600,13091,1.333,17455,10.000,8,2016,9,17,Medio
5200,5200,1636,0.250,409,0.667,1,2016,9,18,Nada
