KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
3429,24000,9455,4.000,37818,0.000,16,2013,12,23,Mucho
1714,12000,4727,2.000,9455,1.500,8,2013,12,24,Medio
0,0,0,0.000,0,0.000,0,2014,1,1,Nada
0,0,0,0.000,0,0.000,0,2014,1,2,Nada
0,0,0,0.000,0,0.000,0,2014,2,3,Nada
0,0,0,0.000,0,0.000,0,2014,2,4,Nada
0,0,0,0.000,0,0.000,0,2014,3,5,Nada
1833,16500,6159,1.692,10423,0.000,11,2014,3,6,Mucho
1500,4500,1659,0.261,433,3.545,3,2014,4,7,Nada
1800,9000,3318,0.857,2844,2.143,6,2014,4,8,Medio
2667,24000,8848,2.000,17697,0.600,16,2014,5,9,Mucho
2100,10500,4061,0.341,1387,1.440,7,2014,5,10,Nada
3409,37500,14773,1.515,22383,3.000,25,2014,6,11,Medio
0,0,0,0.000,0,0.250,0,2014,6,12,Nada
4500,4500,1773,0.286,506,0.000,3,2014,7,13,Nada
1500,1500,591,0.049,29,2.250,1,2014,7,14,Nada
1500,7500,2955,0.286,844,15.000,5,2014,8,15,Nada
2333,21000,8273,0.438,3619,5.000,14,2014,8,16,Medio
2143,15000,5909,0.227,1343,7.350,10,2014,9,17,Nada
1750,10500,4136,0.197,816,4.034,7,2014,9,18,Nada
2192,28500,11227,0.844,9481,3.097,19,2014,10,19,Medio
1950,19500,7682,2.000,15364,1.083,13,2014,10,20,Mucho
0,0,0,0.000,0,0.000,0,2014,11,21,Nada
2100,10500,4136,0.824,3406,0.000,7,2014,11,22,Mucho
2400,24000,9455,1.778,16808,2.550,16,2014,12,23,Nada
1875,7500,2955,0.476,1407,0.130,5,2014,12,24,Medio
2100,10500,4136,0.424,1755,2.143,7,2015,1,1,Nada
2167,19500,7682,2.000,15364,1.393,13,2015,1,2,Mucho
0,0,0,0.000,0,0.000,0,2015,2,3,Nada
2250,9000,3545,0.286,1013,3.600,6,2015,2,4,Nada
1950,19500,7682,0.553,4250,2.842,13,2015,3,5,Medio
2045,22500,8864,0.698,6184,4.579,15,2015,3,6,Medio
2143,15000,5909,1.111,6566,1.235,10,2015,4,7,Mucho
1500,1500,591,0.286,169,0.316,1,2015,4,8,Nada
0,0,0,0.000,0,0.346,0,2015,5,9,Nada
0,0,0,0.000,0,0.818,0,2015,5,10,Nada
0,0,0,0.000,0,9.000,0,2015,6,11,Nada
0,0,0,0.000,0,1.000,0,2015,6,12,Nada
2000,6000,2364,0.308,727,1.000,4,2015,7,13,Nada
3150,31500,12409,1.680,20847,17.250,21,2015,7,14,Medio
1800,9000,3545,0.545,1934,0.240,6,2015,8,15,Medio
2000,24000,9455,1.333,12606,1.935,16,2015,8,16,Nada
3000,6000,2364,2.000,4727,0.279,4,2015,9,17,Mucho
0,0,0,0.000,0,0.000,0,2015,9,18,Nada
0,0,0,0.000,0,0.000,0,2015,10,19,Nada
0,0,0,0.000,0,0.000,0,2015,10,20,Nada
0,0,0,0.000,0,0.000,0,2015,11,21,Nada
0,0,0,0.000,0,0.000,0,2015,11,22,Nada
0,0,0,0.000,0,0.000,0,2015,12,23,Nada
0,0,0,0.000,0,0.000,0,2015,12,24,Nada
0,0,0,0.000,0,0.000,0,2016,1,1,Nada
0,0,0,0.000,0,0.000,0,2016,1,2,Nada
0,0,0,0.000,0,0.000,0,2016,2,3,Nada
0,0,0,0.000,0,0.000,0,2016,2,4,Nada
0,0,0,0.000,0,0.000,0,2016,3,5,Nada
4500,18000,6068,2.000,12136,0.000,12,2016,3,6,Mucho
1500,9000,2864,0.667,1909,3.000,6,2016,4,7,Nada
3000,9000,2864,2.000,5727,1.000,6,2016,4,8,Medio
2700,13500,4068,1.200,4882,0.000,9,2016,5,9,Mucho
3000,18000,5273,0.585,3086,2.143,12,2016,5,10,Medio
2100,21000,6152,0.737,4533,2.889,14,2016,6,11,Medio
2455,27000,8098,1.200,9718,1.029,18,2016,6,12,Medio
3563,28500,9068,2.111,19144,1.227,19,2016,7,13,Medio
2156,34500,10106,46.000,464879,0.000,23,2016,7,14,Mucho
2375,28500,9030,5.429,49022,0.050,19,2016,8,15,Mucho
2591,28500,8614,2.235,19254,0.295,19,2016,8,16,Mucho
2750,33000,9667,1.833,17722,0.541,22,2016,9,17,Mucho
2250,22500,6591,0.857,5649,0.650,15,2016,9,18,Mucho
