KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
4600,13800,4958,0.857,4250,4.500,3,2013,12,23,Medio
5750,23000,8264,3.333,27545,2.400,5,2013,12,24,Nada
6133,18400,6608,8.000,52865,-0.375,4,2014,1,1,Mucho
4600,4600,1652,0.222,367,0.500,1,2014,1,2,Nada
0,0,0,0.000,0,2.100,0,2014,2,3,Nada
0,0,0,0.000,0,4.200,0,2014,2,4,Nada
4600,9200,3304,0.333,1101,21.000,2,2014,3,5,Nada
4600,4600,1652,0.200,330,7.500,1,2014,3,6,Nada
4600,4600,1652,0.167,275,5.000,1,2014,4,7,Nada
4600,9200,3304,0.333,1101,5.250,2,2014,4,8,Nada
4600,13800,4955,0.857,4248,3.750,3,2014,5,9,Medio
4600,4600,1652,0.250,413,1.000,1,2014,5,10,Nada
0,0,0,0.000,0,3.000,0,2014,6,11,Nada
4600,9200,3304,0.364,1201,4.500,2,2014,6,12,Nada
4600,13800,4955,0.500,2478,5.000,3,2014,7,13,Nada
4600,4600,1652,0.154,254,4.200,1,2014,7,14,Nada
4600,9200,3304,0.400,1321,3.000,2,2014,8,15,Nada
4600,4600,1652,0.286,472,2.000,1,2014,8,16,Nada
0,0,0,0.000,0,2.250,0,2014,9,17,Nada
4600,9200,3304,0.333,1101,8.000,2,2014,9,18,Nada
4600,9200,3304,0.400,1321,4.000,2,2014,10,19,Nada
4600,9200,3304,0.400,1321,4.500,2,2014,10,20,Nada
4600,4600,1652,0.286,472,2.000,1,2014,11,21,Nada
4600,9200,3304,1.000,3304,1.800,2,2014,11,22,Medio
4600,23000,8259,2.500,20648,0.600,5,2014,12,23,Mucho
4600,4600,1652,0.400,661,1.125,1,2014,12,24,Mucho
4600,4600,1652,0.250,413,0.750,1,2015,1,1,Nada
4600,9200,3304,0.250,826,2.571,2,2015,1,2,Nada
4600,23000,8259,0.714,5899,7.500,5,2015,2,3,Medio
0,0,0,0.000,0,1.500,0,2015,2,4,Nada
4600,4600,1652,0.286,472,1.714,1,2015,3,5,Nada
4600,9200,3304,1.000,3304,1.500,2,2015,3,6,Medio
4600,4600,1652,2.000,3304,1.000,1,2015,4,7,Medio
0,0,0,0.000,0,0.000,0,2015,4,8,Nada
4600,9200,2918,0.500,1459,5.000,2,2015,5,9,Nada
4600,13800,4377,0.857,3752,3.000,3,2015,5,10,Medio
4600,13800,4377,1.200,5253,2.400,3,2015,6,11,Medio
4600,9200,2373,1.333,3164,0.375,2,2015,6,12,Mucho
4600,9200,2373,2.000,4745,0.750,2,2015,7,13,Medio
4600,9200,2373,4.000,9491,0.000,2,2015,7,14,Mucho
4600,4600,1186,0.400,475,0.500,1,2015,8,15,Medio
4600,4600,1186,0.286,339,2.400,1,2015,8,16,Nada
6900,13800,3559,2.000,7118,2.250,3,2015,9,17,Medio
4600,9200,1647,2.000,3295,0.000,2,2015,9,18,Mucho
4600,13800,2471,1.000,2471,1.000,3,2015,10,19,Medio
6133,18400,3295,2.000,6589,1.500,4,2015,10,20,Mucho
4600,9200,1647,1.333,2196,0.000,2,2015,11,21,Mucho
4600,9200,1647,0.444,732,1.000,2,2015,11,22,Mucho
4600,9200,1647,0.400,659,2.250,2,2015,12,23,Nada
3680,18400,3295,2.000,6589,2.000,4,2015,12,24,Nada
4600,4600,824,0.400,329,0.000,1,2016,1,1,Medio
4600,32200,5681,1.750,9942,2.143,7,2016,1,2,Medio
4600,13800,2386,0.600,1432,0.750,3,2016,2,3,Mucho
3067,9200,1591,0.333,530,1.909,2,2016,2,4,Nada
4600,18400,3182,1.333,4242,1.250,4,2016,3,5,Mucho
0,0,0,0.000,0,0.333,0,2016,3,6,Nada
0,0,0,0.000,0,0.500,0,2016,4,7,Nada
6000,6000,2195,0.154,338,5.250,1,2016,4,8,Nada
6000,12000,4391,0.400,1756,18.000,2,2016,5,9,Nada
4000,12000,4391,0.667,2927,4.000,2,2016,5,10,Nada
0,0,0,0.000,0,1.200,0,2016,6,11,Nada
8400,42000,15368,2.000,30736,5.250,7,2016,6,12,Medio
6000,12000,4391,1.333,5855,0.000,2,2016,7,13,Mucho
7200,36000,13173,2.000,26345,1.000,6,2016,7,14,Medio
0,0,0,0.000,0,0.600,0,2016,8,15,Nada
6000,12000,4391,0.286,1255,3.000,2,2016,8,16,Nada
6000,18000,6586,0.600,3952,2.250,3,2016,9,17,Medio
6000,6000,2195,0.286,627,2.400,1,2016,9,18,Nada
