KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
0,0,0,0.000,0,0.000,0,2013,12,23,Nada
0,0,0,0.000,0,1.000,0,2013,12,24,Nada
15600,15600,5855,0.400,2342,1.000,1,2014,1,1,Mucho
15600,31200,11709,2.000,23418,6.000,2,2014,1,2,Medio
0,0,0,0.000,0,0.000,0,2014,2,3,Nada
0,0,0,0.000,0,0.000,0,2014,2,4,Nada
0,0,0,0.000,0,0.000,0,2014,3,5,Nada
0,0,0,0.000,0,0.000,0,2014,3,6,Nada
0,0,0,0.000,0,0.000,0,2014,4,7,Nada
0,0,0,0.000,0,0.000,0,2014,4,8,Nada
0,0,0,0.000,0,0.000,0,2014,5,9,Nada
0,0,0,0.000,0,0.000,0,2014,5,10,Nada
0,0,0,0.000,0,0.000,0,2014,6,11,Nada
0,0,0,0.000,0,0.000,0,2014,6,12,Nada
15600,15600,5855,0.667,3903,0.000,1,2014,7,13,Medio
15600,31200,11709,1.000,11709,9.000,2,2014,7,14,Medio
0,0,0,0.000,0,1.000,0,2014,8,15,Nada
15600,15600,5855,2.000,11709,1.000,1,2014,8,16,Medio
0,0,0,0.000,0,0.000,0,2014,9,17,Nada
0,0,0,0.000,0,0.000,0,2014,9,18,Nada
0,0,0,0.000,0,0.000,0,2014,10,19,Nada
15600,15600,5855,2.000,11709,0.000,1,2014,10,20,Mucho
15600,15600,5855,2.000,11709,3.000,1,2014,11,21,Medio
0,0,0,0.000,0,0.000,0,2014,11,22,Nada
15600,15600,5855,1.000,5855,0.000,1,2014,12,23,Mucho
31200,31200,11709,2.000,23418,3.000,2,2014,12,24,Medio
15600,15600,5855,0.667,3903,0.000,1,2015,1,1,Medio
15600,15600,5855,0.400,2342,2.250,1,2015,1,2,Nada
0,0,0,0.000,0,1.500,0,2015,2,3,Nada
0,0,0,0.000,0,3.000,0,2015,2,4,Nada
15600,15600,5855,0.667,3903,6.000,1,2015,3,5,Nada
15600,15600,5855,2.000,11709,3.000,1,2015,3,6,Medio
0,0,0,0.000,0,0.000,0,2015,4,7,Nada
0,0,0,0.000,0,0.000,0,2015,4,8,Nada
0,0,0,0.000,0,0.000,0,2015,5,9,Nada
0,0,0,0.000,0,0.000,0,2015,5,10,Nada
0,0,0,0.000,0,0.000,0,2015,6,11,Nada
15600,15600,4882,0.222,1085,1.000,1,2015,6,12,Nada
11700,46800,14645,1.200,17575,12.000,3,2015,7,13,Medio
0,0,0,0.000,0,0.750,0,2015,7,14,Nada
15600,15600,4882,2.000,9764,0.750,1,2015,8,15,Medio
0,0,0,0.000,0,0.000,0,2015,8,16,Nada
15600,15600,4882,0.400,1953,9.000,1,2015,9,17,Nada
15600,15600,4882,0.667,3255,3.000,1,2015,9,18,Nada
15600,15600,4882,2.000,9764,1.500,1,2015,10,19,Medio
0,0,0,0.000,0,0.000,0,2015,10,20,Nada
0,0,0,0.000,0,3.000,0,2015,11,21,Nada
15600,15600,4882,0.667,3255,6.000,1,2015,11,22,Nada
15600,15600,4882,0.667,3255,3.000,1,2015,12,23,Nada
15600,15600,4882,0.667,3255,3.000,1,2015,12,24,Nada
15600,15600,4882,2.000,9764,1.000,1,2016,1,1,Medio
0,0,0,0.000,0,0.000,0,2016,1,2,Nada
0,0,0,0.000,0,3.000,0,2016,2,3,Nada
15600,15600,4127,0.667,2752,6.000,1,2016,2,4,Nada
0,0,0,0.000,0,3.000,0,2016,3,5,Nada
0,0,0,0.000,0,3.000,0,2016,3,6,Nada
0,0,0,0.000,0,3.000,0,2016,4,7,Nada
15600,15600,4127,2.000,8255,1.000,1,2016,4,8,Medio
0,0,0,0.000,0,0.000,0,2016,5,9,Nada
15600,15600,4127,1.000,4127,0.000,1,2016,5,10,Mucho
0,0,0,0.000,0,3.000,0,2016,6,11,Nada
15600,15600,4127,0.667,2752,6.000,1,2016,6,12,Nada
0,0,0,0.000,0,1.500,0,2016,7,13,Nada
0,0,0,0.000,0,3.000,0,2016,7,14,Nada
15600,31200,8255,0.500,4127,15.000,2,2016,8,15,Mucho
0,0,0,0.000,0,4.500,0,2016,8,16,Nada
15600,15600,4127,0.400,1651,4.500,1,2016,9,17,Nada
0,0,0,0.000,0,2.000,0,2016,9,18,Nada
