KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
5667,374000,90873,1.545,140440,1.412,68,2013,12,23,Medio
7388,495000,120273,4.500,541227,0.706,90,2013,12,24,Medio
6286,264000,64145,1.548,99322,0.000,48,2014,1,1,Mucho
5789,440000,106909,1.404,150048,0.903,80,2014,1,2,Medio
5500,324500,78845,1.242,97934,0.716,59,2014,2,3,Medio
6315,341000,82855,1.476,122309,0.690,62,2014,2,4,Medio
5994,467500,113591,2.982,338780,0.612,85,2014,3,5,Medio
5937,374000,90873,1.432,130091,0.233,68,2014,3,6,Mucho
5873,346500,84191,1.096,92244,1.102,63,2014,4,7,Medio
6058,418000,101564,3.304,335602,0.500,76,2014,4,8,Mucho
6311,385000,93545,2.000,187091,0.145,70,2014,5,9,Mucho
6286,396000,96218,1.210,116432,0.861,72,2014,5,10,Medio
6188,346500,84191,0.940,79165,0.812,63,2014,6,11,Medio
6515,443000,116564,1.014,118160,1.098,74,2014,6,12,Medio
6667,360000,87273,1.071,93506,1.019,60,2014,7,13,Medio
6600,462000,112000,2.369,265354,0.624,77,2014,7,14,Medio
6514,456000,110545,1.854,204914,0.341,76,2014,8,15,Mucho
7065,438000,106182,1.098,116560,0.817,73,2014,8,16,Medio
7619,480000,116364,1.333,155152,0.996,80,2014,9,17,Medio
7792,600000,145455,2.500,363636,0.590,100,2014,9,18,Mucho
7800,468000,113455,2.167,245818,0.415,78,2014,10,19,Mucho
7575,606000,146909,3.206,471042,0.430,101,2014,10,20,Mucho
8065,750000,181818,3.205,582751,0.280,125,2014,11,21,Mucho
7553,642000,155636,2.019,314209,0.513,107,2014,11,22,Mucho
8051,636000,154182,2.058,317345,0.486,106,2014,12,23,Mucho
6990,678000,164364,2.659,437014,0.435,113,2014,12,24,Mucho
6600,528000,128000,2.095,268190,0.331,88,2015,1,1,Mucho
6923,540000,130909,2.093,273996,0.469,90,2015,1,2,Mucho
7486,786000,190545,2.758,525504,0.392,131,2015,2,3,Mucho
6857,384000,93091,0.985,91659,0.553,64,2015,2,4,Mucho
7063,558000,135273,1.301,175949,0.768,93,2015,3,5,Medio
6560,492000,119273,1.378,164376,0.729,82,2015,3,6,Medio
7182,474000,114909,1.596,183390,0.615,79,2015,4,7,Medio
7091,624000,151273,3.152,476738,0.591,104,2015,4,8,Mucho
7683,630000,152727,3.684,562679,0.181,105,2015,5,9,Mucho
7277,684000,165818,2.327,385781,0.427,114,2015,5,10,Mucho
7568,666000,161455,5.163,833556,0.529,111,2015,6,11,Mucho
8552,744000,180364,-124.000,-22365091,-0.127,124,2015,6,12,Nada
7403,570000,138182,21.111,2917172,0.103,95,2015,7,13,Mucho
7800,624000,151273,-20.800,-3146473,-0.027,104,2015,7,14,Nada
7923,618000,149818,5.421,812172,-0.065,103,2015,8,15,Mucho
7200,756000,183273,2.032,372457,0.447,126,2015,8,16,Mucho
7485,756000,183273,2.471,452791,0.712,126,2015,9,17,Medio
7041,690000,167273,2.527,422777,0.194,115,2015,9,18,Mucho
7157,594000,144000,1.850,266467,0.556,99,2015,10,19,Mucho
6903,780000,189091,2.203,416641,0.344,130,2015,10,20,Mucho
6865,714000,173091,1.597,276481,0.689,119,2015,11,21,Medio
6816,702000,170182,2.071,352412,0.603,117,2015,11,22,Medio
7000,798000,193455,20.462,3958378,0.352,133,2015,12,23,Mucho
7159,1038000,251636,-8.047,-2024795,-0.244,173,2015,12,24,Nada
7500,930000,225455,-155.000,-34945455,-0.092,155,2016,1,1,Nada
7051,966000,234182,5.279,1236173,0.072,161,2016,1,2,Mucho
7456,1014000,245818,3.347,822639,0.307,169,2016,2,3,Mucho
6708,966000,234182,4.472,1047313,0.315,161,2016,2,4,Mucho
7200,720000,174545,3.478,607115,0.128,120,2016,3,5,Mucho
8481,1128000,273455,7.833,2142061,0.320,188,2016,3,6,Mucho
8243,882000,213818,3.542,757380,0.000,147,2016,4,7,Mucho
7230,882000,213818,1.849,395362,0.547,147,2016,4,8,Mucho
7759,900000,218182,1.829,399113,0.473,150,2016,5,9,Mucho
9050,1086000,263273,3.448,907664,0.595,181,2016,5,10,Mucho
9340,990000,240000,7.857,1885714,0.107,165,2016,6,11,Mucho
9984,1248000,302545,14.345,4339962,0.151,208,2016,6,12,Mucho
9149,1290000,312727,6.719,2101136,0.022,215,2016,7,13,Mucho
8338,1134000,274909,2.864,787240,0.306,189,2016,7,14,Mucho
9523,1476000,357818,4.169,1491920,0.353,246,2016,8,15,Mucho
10157,1554000,375918,9.418,3540466,0.212,259,2016,8,16,Mucho
8484,1332000,320891,12.000,3850691,0.039,222,2016,9,17,Mucho
10140,1308000,315109,2.725,858672,0.116,218,2016,9,18,Mucho
