KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
4500,9000,2818,0.133,376,1.333,2,2013,12,23,Nada
6000,18000,7091,0.167,1182,7.091,4,2013,12,24,Nada
4500,4500,1773,0.047,82,6.600,1,2014,1,1,Nada
9000,9000,3545,0.100,355,9.000,2,2014,1,2,Nada
5625,22500,8864,0.303,2686,8.143,5,2014,2,3,Nada
6750,13500,5318,0.240,1276,5.250,3,2014,2,4,Nada
4500,18000,7091,0.444,3152,3.300,4,2014,3,5,Nada
5250,31500,12409,2.000,24818,1.750,7,2014,3,6,Nada
0,0,0,0.000,0,0.000,0,2014,4,7,Nada
0,0,0,0.000,0,0.000,0,2014,4,8,Nada
0,0,0,0.000,0,0.000,0,2014,5,9,Nada
0,0,0,0.000,0,0.000,0,2014,5,10,Nada
0,0,0,0.000,0,0.000,0,2014,6,11,Nada
0,0,0,0.000,0,0.000,0,2014,6,12,Nada
0,0,0,0.000,0,0.000,0,2014,7,13,Nada
4500,54000,19091,0.286,5455,1.000,12,2014,7,14,Medio
4500,27000,9545,0.182,1736,9.000,6,2014,8,15,Nada
4500,18000,6364,0.143,909,5.000,4,2014,8,16,Nada
4500,36000,12727,0.364,4628,3.545,8,2014,9,17,Medio
4500,13500,4773,0.182,868,3.000,3,2014,9,18,Nada
0,0,0,0.000,0,3.000,0,2014,10,19,Nada
0,0,0,0.000,0,4.091,0,2014,10,20,Nada
0,0,0,0.000,0,15.000,0,2014,11,21,Nada
0,0,0,0.000,0,1.000,0,2014,11,22,Nada
4500,9000,3182,0.143,455,1.000,2,2014,12,23,Nada
4500,27000,9545,0.600,5727,19.500,6,2014,12,24,Medio
6750,13500,4773,0.545,2603,2.625,3,2015,1,1,Nada
4500,18000,6364,2.000,12727,1.091,4,2015,1,2,Medio
0,0,0,0.000,0,0.000,0,2015,2,3,Nada
0,0,0,0.000,0,0.000,0,2015,2,4,Nada
0,0,0,0.000,0,0.000,0,2015,3,5,Nada
4500,4500,1591,-2.000,-3182,0.000,1,2015,3,6,Nada
0,0,0,0.000,0,-3.000,0,2015,4,7,Nada
4500,13500,5045,0.140,704,69.000,3,2015,4,8,Nada
4500,9000,3182,0.065,205,15.000,2,2015,5,9,Nada
4500,4500,1591,0.024,38,25.200,1,2015,5,10,Nada
5400,27000,9545,0.158,1507,20.500,6,2015,6,11,Nada
4500,18000,6364,0.121,771,11.667,4,2015,6,12,Nada
4500,13500,4773,0.102,485,8.455,3,2015,7,13,Nada
3375,13500,4773,0.113,540,6.462,3,2015,7,14,Nada
6750,13500,4773,0.128,609,7.500,3,2015,8,15,Nada
4500,9000,3182,0.095,303,7.333,2,2015,8,16,Nada
4500,13500,4773,0.162,774,7.500,3,2015,9,17,Nada
0,0,0,0.000,0,6.375,0,2015,9,18,Nada
6000,18000,6364,0.267,1697,10.200,4,2015,10,19,Nada
4500,4500,1591,0.080,127,5.571,1,2015,10,20,Nada
0,0,0,0.000,0,7.200,0,2015,11,21,Nada
0,0,0,0.000,0,7.200,0,2015,11,22,Nada
5625,22500,8136,0.233,1892,36.000,5,2015,12,23,Nada
4500,4500,1682,0.033,55,18.600,1,2015,12,24,Nada
0,0,0,0.000,0,15.000,0,2016,1,1,Nada
0,0,0,0.000,0,15.000,0,2016,1,2,Nada
0,0,0,0.000,0,90.000,0,2016,2,3,Nada
0,0,0,0.000,0,1.000,0,2016,2,4,Nada
7500,22500,8409,0.182,1529,1.000,5,2016,3,5,Nada
0,0,0,0.000,0,15.000,0,2016,3,6,Nada
0,0,0,0.000,0,15.000,0,2016,4,7,Nada
0,0,0,0.000,0,15.000,0,2016,4,8,Nada
0,0,0,0.000,0,1.000,0,2016,5,9,Nada
6000,18000,6727,0.148,997,1.000,4,2016,5,10,Nada
7071,49500,18500,0.468,8660,21.750,11,2016,6,11,Mucho
4500,36000,13455,0.571,7688,3.600,8,2016,6,12,Mucho
9000,9000,3364,0.333,1121,1.304,2,2016,7,13,Nada
4500,4500,1682,0.667,1121,0.286,1,2016,7,14,Medio
0,0,0,0.000,0,0.273,0,2016,8,15,Nada
0,0,0,0.000,0,1.000,0,2016,8,16,Nada
4500,4500,1682,0.080,135,3.000,1,2016,9,17,Nada
4500,4500,1409,0.043,60,72.000,1,2016,9,18,Nada
