KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
7000,161000,52271,-3.538,-184959,-0.103,23,2013,12,23,Nada
7000,168000,54544,-4.000,-218175,-0.692,24,2013,12,24,Nada
7583,91000,29544,2.364,69832,0.000,13,2014,1,1,Mucho
6741,182000,59089,2.600,153631,0.550,26,2014,1,2,Mucho
7538,196000,63634,1.273,80989,0.429,28,2014,2,3,Mucho
7609,175000,56817,0.725,41171,1.567,25,2014,2,4,Medio
7000,175000,56816,0.909,51651,1.291,25,2014,3,5,Mucho
8000,168000,54544,1.600,87270,0.808,24,2014,3,6,Mucho
7700,154000,49999,1.692,84613,0.365,22,2014,4,7,Mucho
9000,126000,40908,2.250,92042,0.718,18,2014,4,8,Medio
9273,102000,35817,14.000,501444,-0.047,14,2014,5,9,Mucho
8438,135000,45241,1.200,54290,0.167,18,2014,5,10,Mucho
10000,210000,68301,1.120,76498,1.620,28,2014,6,11,Medio
12115,157500,51226,2.000,102451,1.150,21,2014,6,12,Mucho
8000,120000,39029,1.455,56770,-0.090,16,2014,7,13,Mucho
9474,180000,58544,1.143,66908,1.108,24,2014,7,14,Mucho
9375,112500,36590,1.429,52272,0.885,15,2014,8,15,Medio
7500,75000,24393,1.000,24393,0.164,10,2014,8,16,Mucho
8523,187500,60983,1.282,78183,1.041,25,2014,9,17,Mucho
9079,172500,56104,1.022,57351,1.320,23,2014,9,18,Mucho
7500,112500,36590,0.492,17995,1.190,15,2014,10,19,Mucho
7500,120000,39029,0.410,16012,1.810,16,2014,10,20,Nada
7125,142500,46348,0.623,28872,2.222,19,2014,11,21,Medio
7500,202500,65862,1.200,79035,1.260,27,2014,11,22,Mucho
8952,277500,90256,2.552,230307,1.161,37,2014,12,23,Medio
7500,112500,36590,1.200,43908,0.181,15,2014,12,24,Mucho
10000,150000,48787,0.909,44352,0.759,20,2015,1,1,Mucho
9600,240000,78058,1.600,124893,1.000,32,2015,1,2,Medio
7500,150000,48787,0.952,46463,0.716,20,2015,2,3,Mucho
9375,112500,36590,0.811,29668,1.083,15,2015,2,4,Medio
7969,127500,41468,1.172,48618,0.493,17,2015,3,5,Mucho
8289,157500,51226,1.615,82749,1.038,21,2015,3,6,Mucho
8333,150000,48787,1.538,75056,0.453,20,2015,4,7,Mucho
8438,67500,21954,0.667,14636,0.931,9,2015,4,8,Mucho
7969,127500,41469,1.360,56397,0.540,17,2015,5,9,Mucho
8500,127500,41468,0.872,36152,1.043,17,2015,5,10,Medio
7917,142500,46347,0.844,39138,1.605,19,2015,6,11,Nada
9375,112500,36590,0.566,20711,1.245,15,2015,6,12,Mucho
7500,90000,29272,0.387,11331,1.824,12,2015,7,13,Nada
9500,142500,46347,0.884,40958,2.022,19,2015,7,14,Nada
7500,67500,21954,0.346,7599,0.783,9,2015,8,15,Nada
7500,52500,17075,0.192,3275,3.000,7,2015,8,16,Nada
7500,52500,17075,0.237,4052,2.829,7,2015,9,17,Nada
8382,142500,46347,0.745,34533,3.391,19,2015,9,18,Medio
8125,97500,31712,0.703,22284,2.273,13,2015,10,19,Nada
7500,142500,39441,1.357,53527,0.923,19,2015,10,20,Mucho
7500,52500,14531,0.326,4731,0.941,7,2015,11,21,Nada
8382,142500,39440,0.717,28278,2.077,19,2015,11,22,Medio
6875,82500,22834,0.415,9478,1.733,11,2015,12,23,Nada
8152,187500,51895,0.649,33698,2.189,25,2015,12,24,Medio
8864,292500,80957,1.114,90209,2.727,39,2016,1,1,Medio
8000,240000,66426,1.032,68569,0.800,32,2016,1,2,Medio
7895,150000,41516,0.294,12211,1.313,20,2016,2,3,Nada
7500,90000,24910,0.136,3397,3.099,12,2016,2,4,Nada
8250,82500,22834,0.146,3327,3.844,11,2016,3,5,Nada
8182,90000,24910,0.190,4745,4.814,12,2016,3,6,Nada
7500,67500,18682,0.173,3234,4.886,9,2016,4,7,Nada
8036,112500,31137,0.380,11824,4.406,15,2016,4,8,Nada
7000,105000,29062,0.452,13125,2.667,14,2016,5,9,Nada
9000,90000,24910,0.522,12997,2.368,12,2016,5,10,Nada
7500,82500,22834,0.667,15223,1.171,11,2016,6,11,Mucho
7500,37500,10379,0.286,2965,1.378,5,2016,6,12,Nada
7500,90000,20576,0.585,12044,1.929,12,2016,7,13,Nada
9500,142500,31955,1.056,33730,2.464,19,2016,7,14,Nada
7500,112500,25227,1.071,27029,1.083,15,2016,8,15,Medio
7500,75000,16818,0.526,8852,0.978,10,2016,8,16,Mucho
7500,97500,21864,0.578,12632,1.568,13,2016,9,17,Nada
7500,90000,20182,0.545,11008,1.737,12,2016,9,18,Nada
