KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
9500,19000,8138,2.000,16276,0.375,2,2013,12,23,Mucho
10133,152000,65105,-2.000,-130211,0.000,16,2013,12,24,Mucho
8550,85500,45365,-3.600,-163316,-1.412,9,2014,1,1,Nada
9500,76000,42545,1.143,48623,1.222,8,2014,1,2,Mucho
11281,180500,101045,-2.923,-295364,0.273,19,2014,2,3,Mucho
9500,57000,31545,1.200,37855,-1.333,6,2014,2,4,Mucho
9500,114000,63091,0.600,37855,2.364,12,2014,3,5,Medio
12667,76000,42061,0.800,33648,1.135,8,2014,3,6,Nada
9500,47500,26288,1.429,37554,0.692,5,2014,4,7,Medio
10857,76000,42061,-2.667,-112162,0.120,8,2014,4,8,Nada
9500,38000,18758,-1.333,-25010,-1.000,4,2014,5,9,Nada
0,0,0,0.000,0,0.176,0,2014,5,10,Nada
11875,47500,25889,0.145,3752,9.250,5,2014,6,11,Nada
9500,9500,5178,0.032,167,10.667,1,2014,6,12,Nada
10556,95000,51777,0.455,23535,15.000,10,2014,7,13,Medio
10857,76000,41422,0.800,33137,2.625,8,2014,7,14,Medio
9500,95000,51777,10.000,517773,0.947,10,2014,8,15,Mucho
9500,123500,67310,-8.667,-583357,-0.429,13,2014,8,16,Mucho
9500,57000,27758,0.375,10409,0.097,6,2014,9,17,Nada
9500,28500,13500,0.102,1373,3.207,3,2014,9,18,Nada
9500,19000,9000,0.074,667,3.818,2,2014,10,19,Nada
11400,57000,27000,0.188,5063,7.091,6,2014,10,20,Nada
11875,47500,22500,0.141,3169,10.364,5,2014,11,21,Nada
9500,152000,72000,0.640,46080,7.615,16,2014,11,22,Mucho
9500,57000,27000,0.429,11571,1.889,6,2014,12,23,Nada
9500,47500,22500,0.588,13235,1.222,5,2014,12,24,Mucho
11875,47500,22500,1.429,32143,0.667,5,2015,1,1,Medio
0,0,0,0.000,0,0.188,0,2015,1,2,Nada
15833,47500,21894,0.313,6842,0.300,5,2015,2,3,Nada
9500,28500,13045,0.102,1327,9.300,3,2015,2,4,Nada
9500,9500,4348,0.036,158,10.500,1,2015,3,5,Nada
9500,57000,26091,0.250,6523,9.000,6,2015,3,6,Nada
9500,9500,4348,0.049,212,6.300,1,2015,4,7,Nada
0,0,0,0.000,0,7.500,0,2015,4,8,Nada
9500,9500,4348,0.051,223,8.571,1,2015,5,9,Nada
9500,47500,21742,0.303,6589,28.500,5,2015,5,10,Nada
14250,28500,13045,0.240,3131,7.000,3,2015,6,11,Nada
12667,76000,34788,1.143,39758,3.667,8,2015,6,12,Nada
9500,9500,4348,0.400,1739,0.563,1,2015,7,13,Medio
0,0,0,0.000,0,0.500,0,2015,7,14,Nada
0,0,0,0.000,0,0.667,0,2015,8,15,Nada
9500,9500,4348,0.061,264,6.000,1,2015,8,16,Nada
9500,28500,11227,0.102,1142,93.000,3,2015,9,17,Nada
12667,38000,14970,0.154,2303,21.000,4,2015,9,18,Nada
9500,57000,22455,0.286,6416,9.000,6,2015,10,19,Nada
9500,19000,7485,0.118,881,4.154,2,2015,10,20,Nada
4750,9500,3742,0.065,241,4.000,1,2015,11,21,Nada
9500,28500,11227,0.222,2495,5.000,3,2015,11,22,Nada
9500,28500,11000,0.105,1158,6.000,3,2015,12,23,Nada
9500,28500,10886,0.069,751,19.286,3,2015,12,24,Nada
9500,66500,25402,0.182,4618,14.000,7,2016,1,1,Nada
10292,123500,46417,0.347,16091,8.077,13,2016,1,2,Medio
12667,76000,27515,0.222,6114,5.217,8,2016,2,3,Nada
11400,171000,61909,0.783,48451,3.429,18,2016,2,4,Mucho
11083,66500,24076,1.167,28088,1.077,7,2016,3,5,Medio
9500,38000,13758,-1.000,-13758,-0.182,4,2016,3,6,Nada
9625,38500,13773,0.308,4238,-0.621,4,2016,4,7,Nada
10000,10000,3697,0.028,103,6.400,1,2016,4,8,Nada
12500,50000,18485,0.133,2465,13.333,5,2016,5,9,Nada
10000,20000,7394,0.060,441,10.500,2,2016,5,10,Nada
10000,30000,11091,0.098,1091,12.000,3,2016,6,11,Nada
10000,40000,14788,0.148,2191,8.700,4,2016,6,12,Nada
10000,20000,7394,0.083,616,8.333,2,2016,7,13,Nada
15000,30000,11091,0.140,1548,7.667,3,2016,7,14,Nada
10000,50000,18485,0.286,5281,6.667,5,2016,8,15,Nada
10000,10000,3697,0.069,255,4.500,1,2016,8,16,Nada
10000,20000,6347,0.065,409,4.667,2,2016,9,17,Nada
10000,30000,9520,0.065,614,18.000,3,2016,9,18,Nada
