KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
3200,3200,1109,0.200,222,4.000,1,2013,12,23,Nada
3840,19200,6655,2.000,13309,4.500,6,2013,12,24,Nada
3200,6400,2218,2.000,4436,0.000,2,2014,1,1,Mucho
3200,6400,2218,2.000,4436,0.667,2,2014,1,2,Medio
0,0,0,0.000,0,0.000,0,2014,2,3,Nada
0,0,0,0.000,0,0.000,0,2014,2,4,Nada
4800,9600,3327,6.000,19964,0.000,3,2014,3,5,Mucho
4800,19200,6655,2.000,13309,1.000,6,2014,3,6,Mucho
4267,12800,4436,1.333,5915,1.667,4,2014,4,7,Medio
0,0,0,0.000,0,0.231,0,2014,4,8,Nada
3840,19200,6655,6.000,39927,0.300,6,2014,5,9,Mucho
5333,16000,5545,5.000,27727,0.300,5,2014,5,10,Mucho
4800,9600,3327,3.000,9982,0.273,3,2014,6,11,Mucho
4800,9600,3327,6.000,19964,0.214,3,2014,6,12,Mucho
6400,6400,2218,0.000,0,0.000,2,2014,7,13,Nada
4267,12800,4436,8.000,35491,0.000,4,2014,7,14,Mucho
3657,25600,8873,5.333,47321,0.333,8,2014,8,15,Mucho
5333,16000,5545,5.000,27727,0.429,5,2014,8,16,Mucho
4000,16000,5545,0.000,0,0.000,5,2014,9,17,Nada
0,0,0,0.000,0,0.000,0,2014,9,18,Nada
3200,6400,2218,1.333,2958,0.000,2,2014,10,19,Mucho
3200,9600,3327,2.000,6655,1.286,3,2014,10,20,Medio
4800,9600,3327,0.000,0,0.000,3,2014,11,21,Nada
0,0,0,0.000,0,0.000,0,2014,11,22,Nada
4800,9600,3327,0.000,0,0.000,3,2014,12,23,Nada
0,0,0,0.000,0,0.000,0,2014,12,24,Nada
4000,16000,5545,0.000,0,0.000,5,2015,1,1,Nada
5333,16000,5545,0.000,0,0.000,5,2015,1,2,Nada
4800,19200,6655,0.000,0,0.000,6,2015,2,3,Nada
0,0,0,0.000,0,0.000,0,2015,2,4,Nada
3200,3200,1109,-2.000,-2218,0.000,1,2015,3,5,Nada
3200,6400,2218,4.000,8873,-0.429,2,2015,3,6,Mucho
2560,12800,4436,1.600,7098,2.000,4,2015,4,7,Medio
3200,3200,1109,0.286,317,1.286,1,2015,4,8,Nada
2133,6400,2218,0.500,1109,1.714,2,2015,5,9,Nada
3200,6400,2218,0.667,1479,1.714,2,2015,5,10,Nada
3200,6400,2218,2.000,4436,1.200,2,2015,6,11,Medio
3200,9600,3327,2.000,6655,0.000,3,2015,6,12,Mucho
6400,6400,2218,1.000,2218,1.286,2,2015,7,13,Medio
3200,3200,1109,2.000,2218,0.429,1,2015,7,14,Mucho
0,0,0,0.000,0,0.000,0,2015,8,15,Nada
3200,9600,3327,0.857,2852,5.000,3,2015,8,16,Medio
3200,6400,2218,0.571,1268,1.500,2,2015,9,17,Mucho
3200,9600,3327,0.857,2852,3.000,3,2015,9,18,Medio
3200,3200,1109,0.667,739,0.750,1,2015,10,19,Mucho
3200,6400,2218,0.800,1775,0.500,2,2015,10,20,Medio
4800,9600,3327,1.200,3993,2.000,3,2015,11,21,Medio
3200,3200,1109,2.000,2218,0.500,1,2015,11,22,Mucho
4267,12800,4436,0.000,0,0.000,4,2015,12,23,Nada
3200,19200,6655,0.000,0,0.000,6,2015,12,24,Nada
4364,48000,16636,0.000,0,0.000,15,2016,1,1,Mucho
3840,19200,6655,3.000,19964,0.000,6,2016,1,2,Mucho
3200,25600,8873,2.000,17745,0.444,8,2016,2,3,Mucho
3200,6400,2218,0.667,1479,0.414,2,2016,2,4,Medio
3200,3200,1109,0.333,370,0.375,1,2016,3,5,Nada
0,0,0,0.000,0,1.091,0,2016,3,6,Nada
4267,12800,4436,0.800,3549,4.000,4,2016,4,7,Nada
4267,12800,4436,1.000,4436,3.600,4,2016,4,8,Medio
3200,6400,2218,2.000,4436,0.750,2,2016,5,9,Medio
3200,3200,1109,0.400,444,0.000,1,2016,5,10,Medio
4267,12800,4436,1.333,5915,2.143,4,2016,6,11,Medio
3200,3200,1109,2.000,2218,0.429,1,2016,6,12,Mucho
4267,12800,4436,8.000,35491,0.000,4,2016,7,13,Mucho
3200,6400,2218,0.800,1775,0.333,2,2016,7,14,Medio
3200,9600,3327,1.200,3993,1.714,3,2016,8,15,Medio
3200,3200,1109,2.000,2218,0.333,1,2016,8,16,Mucho
0,0,0,0.000,0,0.000,0,2016,9,17,Nada
3200,3200,1018,0.500,509,0.000,1,2016,9,18,Medio
