KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
26839,751500,162445,1.374,223279,3.220,167,2013,12,23,Nada
26438,1057500,228591,5.802,1326392,0.318,235,2013,12,24,Mucho
25250,454500,98245,0.902,88596,0.229,101,2014,1,1,Mucho
39913,1836000,396873,1.880,746194,1.080,408,2014,1,2,Medio
23803,904500,195518,1.318,257699,1.020,201,2014,2,3,Mucho
20842,396000,85600,0.688,58850,0.220,88,2014,2,4,Medio
21938,526500,113809,0.804,91517,0.878,117,2014,3,5,Medio
20625,247500,53500,0.372,19882,0.643,55,2014,3,6,Nada
31500,535500,230300,0.442,101691,2.412,119,2014,4,7,Nada
27900,558000,310000,0.463,143433,3.402,124,2014,4,8,Nada
18750,450000,250000,0.641,160256,2.074,100,2014,5,9,Nada
16875,67500,37500,0.147,5515,0.927,15,2014,5,10,Nada
7500,22500,12500,0.031,385,1.230,5,2014,6,11,Nada
9000,27000,15000,0.027,402,5.675,6,2014,6,12,Nada
0,0,0,0.000,0,25.500,0,2014,7,13,Nada
0,0,0,0.000,0,27.000,0,2014,7,14,Nada
0,0,0,0.000,0,42.500,0,2014,8,15,Nada
4500,9000,4106,0.009,36,1.000,2,2014,8,16,Nada
4500,13500,6159,0.013,81,676.500,3,2014,9,17,Nada
4500,4500,2053,0.400,821,2.400,1,2014,9,18,Nada
4500,4500,2105,0.002,4,0.500,1,2014,10,19,Nada
3600,18000,8418,0.004,36,628.200,4,2014,10,20,Nada
4500,18000,8418,0.005,43,419.500,4,2014,11,21,Nada
4500,27000,12627,0.012,157,248.333,6,2014,11,22,Nada
33750,67500,31568,0.034,1064,47.143,15,2014,12,23,Nada
11571,81000,30801,0.031,953,80.400,18,2014,12,24,Nada
3600,18000,6845,0.009,59,37.923,4,2015,1,1,Nada
6300,31500,11978,0.019,225,35.027,7,2015,1,2,Nada
4500,18000,6845,0.020,137,32.483,4,2015,2,3,Nada
4500,4500,1711,0.026,44,17.200,1,2015,2,4,Nada
12600,63000,23956,0.040,969,-2.000,14,2015,3,5,Nada
7875,31500,11978,0.010,125,110.526,7,2015,3,6,Nada
4500,22500,8556,0.008,71,87.955,5,2015,4,7,Nada
0,0,0,0.000,0,65.538,0,2015,4,8,Nada
5625,22500,8556,0.013,111,98.500,5,2015,5,9,Nada
6000,18000,6845,0.011,74,114.000,4,2015,5,10,Nada
4500,4500,1711,0.003,5,120.333,1,2015,6,11,Nada
0,0,0,0.000,0,105.300,0,2015,6,12,Nada
0,0,0,0.000,0,64.200,0,2015,7,13,Nada
0,0,0,0.000,0,321.000,0,2015,7,14,Nada
0,0,0,0.000,0,1.000,0,2015,8,15,Nada
4500,9000,5242,0.024,123,1.000,2,2015,8,16,Nada
6750,13500,7864,0.118,925,76.500,3,2015,9,17,Nada
4500,4500,1975,0.014,27,0.000,1,2015,9,18,Nada
4500,13500,5926,0.010,57,73.500,3,2015,10,19,Nada
4500,18000,7902,0.016,130,205.714,4,2015,10,20,Nada
0,0,0,0.000,0,3.000,0,2015,11,21,Nada
0,0,0,0.000,0,-0.429,0,2015,11,22,Nada
0,0,0,0.000,0,-0.750,0,2015,12,23,Nada
2250,4500,1770,0.002,4,1.000,1,2015,12,24,Nada
4500,4500,1770,0.003,5,1254.000,1,2016,1,1,Nada
7000,63000,24778,0.105,2608,340.500,14,2016,1,2,Nada
4500,22500,6955,0.060,419,7.313,5,2016,2,3,Nada
8438,67500,20864,0.160,3329,19.050,15,2016,2,4,Nada
9000,9000,2782,0.006,16,5.382,2,2016,3,5,Nada
4500,9000,2782,0.004,10,87.273,2,2016,3,6,Nada
4500,4500,1391,0.002,3,78.000,1,2016,4,7,Nada
4500,4500,1391,0.003,4,231.000,1,2016,4,8,Nada
0,0,0,0.000,0,252.000,0,2016,5,9,Nada
4500,9000,2782,0.007,21,445.500,2,2016,5,10,Nada
9000,18000,5564,0.028,158,240.000,4,2016,6,11,Nada
6300,31500,14597,0.034,497,20.500,7,2016,6,12,Nada
9000,9000,5212,0.011,56,85.385,2,2016,7,13,Nada
0,0,0,0.000,0,0.000,0,2016,7,14,Nada
0,0,0,0.000,0,0.000,0,2016,8,15,Nada
21375,85500,19864,2.235,44401,0.000,19,2016,8,16,Mucho
9000,45000,10455,0.870,9091,2.684,10,2016,9,17,Medio
24000,72000,16727,4.000,66909,0.621,16,2016,9,18,Medio
