KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
1.000,15000,28.182,0.189,798,7.250,5,2013,12,49,Nada
1.400,21000,28.182,0.341,2021,9.000,7,2013,12,50,Nada
2.000,12000,28.182,0.267,902,3.923,4,2013,12,51,Nada
1.000,15000,28.182,0.476,2013,2.438,5,2013,12,52,Poco
0.000,0,0.000,0.000,0,1.500,0,2013,12,53,Nada
1.750,21000,28.182,1.556,9206,2.667,7,2014,1,1,Poco
1.400,21000,28.182,14.000,82855,0.250,7,2014,1,2,Medio
1.500,9000,28.788,0.087,225,4.909,3,2014,1,4,Nada
2.000,18000,28.788,0.200,1036,5.500,6,2014,1,5,Nada
1.500,18000,28.788,0.250,1295,4.765,6,2014,2,6,Nada
1.571,33000,28.402,0.272,2546,4.200,11,2014,2,7,Nada
1.500,27000,28.182,0.162,1234,7.826,9,2014,2,8,Nada
1.500,9000,28.182,0.061,154,5.885,3,2014,2,9,Nada
1.286,27000,28.182,0.207,1574,6.261,9,2014,3,10,Nada
1.500,18000,28.182,0.167,845,5.571,6,2014,3,11,Nada
1.000,6000,28.182,0.043,72,5.500,2,2014,3,12,Nada
1.000,6000,28.182,0.033,56,10.765,2,2014,3,13,Nada
1.667,15000,28.182,0.088,374,17.700,5,2014,3,14,Nada
1.333,36000,28.182,0.250,2536,18.000,12,2014,4,15,Nada
1.222,33000,28.182,0.301,2803,6.632,11,2014,4,16,Nada
1.667,15000,28.182,0.175,742,3.321,5,2014,4,17,Nada
1.400,21000,28.182,0.311,1841,2.786,7,2014,4,18,Poco
1.000,9000,28.384,0.080,204,2.478,3,2014,5,19,Poco
1.167,21000,28.788,0.133,806,11.200,7,2014,5,20,Nada
1.000,3000,28.788,0.021,18,8.647,1,2014,5,21,Nada
