KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
2.344,1271000,23.915,5.455,1657934,1.571,150,2013,12,Medio
1.762,314500,24.153,0.540,41031,0.505,37,2014,2,Medio
1.200,306000,24.153,0.500,36954,1.184,36,2014,3,Poco
1.500,433500,24.153,0.292,30601,1.541,51,2014,4,Poco
2.333,178500,24.153,0.074,3205,7.089,21,2014,5,Nada
3.000,459000,24.153,0.220,24435,7.556,54,2014,6,Nada
2.750,93500,24.153,0.052,1169,5.190,11,2014,7,Nada
2.279,833000,24.153,0.620,124793,7.221,98,2014,8,Nada
1.789,289000,24.153,0.370,25797,2.006,34,2014,9,Poco
2.333,59500,23.529,0.084,1174,1.573,7,2014,10,Poco
3.000,382500,23.529,0.647,58273,1.986,45,2014,11,Poco
2.879,807500,23.529,1.061,201676,1.640,95,2014,12,Poco
1.424,399500,23.529,0.433,40719,2.694,47,2015,1,Poco
1.615,178500,23.529,0.284,11919,1.364,21,2015,2,Poco
2.000,374000,23.529,0.620,54535,1.160,44,2015,3,Poco
1.500,280500,23.529,0.528,34848,2.116,33,2015,4,Poco
2.176,314500,20.950,0.643,42396,1.408,37,2015,5,Poco
1.545,144500,18.984,0.281,7708,1.816,17,2015,6,Poco
4.600,195500,18.984,0.568,21077,1.793,23,2015,7,Nada
1.920,408000,18.984,1.548,119930,1.130,48,2015,8,Poco
4.000,136000,18.984,0.291,7511,1.125,16,2015,9,Nada
2.778,212500,18.984,0.388,15636,2.655,25,2015,10,Poco
2.133,272000,18.984,0.853,44063,1.753,32,2015,11,Poco
3.273,306000,18.976,0.878,50985,0.945,36,2015,12,Medio
4.379,1079500,18.976,1.649,337862,1.903,127,2016,1,Medio
3.903,1028500,18.976,2.068,403680,1.462,121,2016,2,Medio
3.643,433500,18.976,1.925,158313,0.232,51,2016,3,Medio
2.000,102000,18.976,0.279,5402,0.311,12,2016,4,Medio
2.778,212500,18.976,0.588,23720,0.897,25,2016,5,Medio
1.167,59500,18.976,0.203,2291,1.023,7,2016,6,Poco
2.909,272000,18.976,0.780,40285,2.659,32,2016,7,Poco
1.286,153000,18.976,0.529,15371,2.016,18,2016,8,Poco
1.714,102000,18.976,0.387,7492,1.316,12,2016,9,Poco
