KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.286,324000,41.335,1.000,133925,0.000,72,2013,12,Mucho
1.196,549000,43.433,2.568,612436,0.470,122,2014,2,Mucho
1.284,508500,43.433,2.194,484601,0.551,113,2014,3,Mucho
1.253,468000,43.433,4.727,960902,0.365,104,2014,4,Mucho
1.269,531000,43.433,3.806,877886,0.000,118,2014,5,Mucho
1.433,387000,43.433,2.688,451732,0.555,86,2014,6,Medio
1.190,337500,43.433,7.895,1157265,0.019,75,2014,7,Medio
1.254,378000,43.433,4.941,811232,0.183,84,2014,8,Medio
1.218,301500,43.434,3.829,501362,0.208,67,2014,9,Medio
1.136,337500,43.434,2.632,385759,0.239,75,2014,10,Medio
1.141,436500,43.433,4.732,897067,0.518,97,2014,11,Medio
1.086,283500,43.433,2.066,254341,0.025,63,2014,12,Medio
1.500,432000,43.433,3.254,610596,0.753,96,2015,1,Medio
1.179,297000,36.576,4.000,434524,0.418,66,2015,3,Medio
1.284,387000,35.352,2.389,326826,0.057,86,2015,4,Medio
1.127,319500,35.352,1.084,122433,1.015,71,2015,5,Poco
1.250,337500,35.352,1.786,213056,0.848,75,2015,6,Medio
1.238,351000,35.352,7.429,921768,0.272,78,2015,7,Medio
1.182,175500,35.352,1.592,98762,0.404,39,2015,9,Medio
1.512,292500,35.352,1.831,189331,0.439,65,2015,10,Medio
1.130,274500,35.352,1.470,142637,1.000,61,2015,11,Poco
1.297,432000,35.352,3.000,458158,0.636,96,2015,12,Medio
1.492,436500,35.352,2.658,410086,0.392,97,2016,1,Medio
1.108,369000,35.352,1.864,243107,0.520,82,2016,2,Medio
1.190,310500,35.352,3.136,344270,0.480,69,2016,3,Medio
1.167,157500,35.352,1.628,90640,0.000,35,2016,4,Medio
1.222,346500,35.352,2.110,258411,0.694,77,2016,5,Medio
1.481,360000,35.352,2.162,275171,0.497,80,2016,6,Medio
1.489,301500,35.352,1.811,193006,0.688,67,2016,7,Medio
1.326,256500,35.352,1.520,137829,0.402,57,2016,8,Medio
1.481,180000,35.352,1.778,113125,0.662,40,2016,9,Medio
