KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0.000,0,0.000,0.000,0,1.513,0,2013,12,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,1,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,2,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,3,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,4,Nada
0.000,0,0.000,0.000,0,1.513,0,2014,5,Nada
1.000,54000,31.515,0.112,1903,1.513,9,2014,6,Poco
1.083,78000,31.515,0.127,3118,36.333,13,2014,7,Nada
1.080,162000,31.515,0.327,16709,13.091,27,2014,8,Nada
1.083,234000,31.515,0.772,56952,4.224,39,2014,9,Nada
1.048,132000,31.515,1.048,43581,1.215,22,2014,10,Poco
1.158,132000,31.515,0.373,15512,0.341,22,2014,11,Medio
1.043,144000,31.515,0.154,6982,3.904,24,2014,12,Nada
1.050,126000,31.515,0.109,4310,9.000,21,2015,1,Nada
1.000,96000,31.515,0.092,2790,8.194,16,2015,2,Nada
1.067,96000,31.515,0.103,3103,8.066,16,2015,3,Nada
1.273,84000,31.515,0.099,2628,8.377,14,2015,4,Nada
1.133,102000,31.515,0.135,4354,8.739,17,2015,5,Nada
1.000,60000,31.515,0.089,1688,7.468,10,2015,6,Nada
1.000,84000,31.515,0.140,3706,7.829,14,2015,7,Nada
1.000,96000,31.515,0.190,5763,6.805,16,2015,8,Nada
1.077,84000,31.515,0.206,5450,5.625,14,2015,9,Nada
1.000,66000,31.515,0.198,4123,4.159,11,2015,10,Nada
1.240,186000,31.515,0.899,52671,3.659,31,2015,11,Nada
1.115,174000,22.085,0.450,17277,1.018,29,2015,12,Poco
1.389,150000,17.121,0.256,6585,4.648,25,2016,1,Nada
1.067,96000,17.121,0.208,3415,3.000,16,2016,2,Poco
1.114,359000,32.127,1.077,124208,2.957,49,2016,3,Medio
1.313,178500,41.497,1.826,135263,0.733,21,2016,4,Medio
1.286,76500,38.360,0.346,10158,0.035,9,2016,5,Medio
1.167,119000,37.968,0.318,14376,1.937,14,2016,6,Poco
1.000,76500,37.968,0.247,7162,2.523,9,2016,7,Poco
1.133,289000,37.968,1.789,196354,3.375,34,2016,8,Poco
0.000,0,0.000,0.000,0,0.105,0,2016,9,Nada
