KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.111,57000,40.510,0.833,19242,1.513,10,2013,12,Medio
1.000,11400,38.596,0.167,733,3.545,2,2014,1,Nada
1.000,11400,38.596,0.200,880,2.538,2,2014,2,Poco
1.000,11400,38.596,0.143,629,1.929,2,2014,3,Poco
1.000,11400,38.596,0.111,489,9.500,2,2014,4,Nada
1.000,11400,38.596,0.125,550,8.500,2,2014,5,Nada
1.000,11400,38.596,0.138,607,7.500,2,2014,6,Nada
1.000,5700,38.596,0.074,163,7.000,1,2014,7,Nada
1.000,5700,38.596,0.080,176,7.800,1,2014,8,Nada
1.000,5700,38.596,0.087,191,9.000,1,2014,9,Nada
1.000,5700,38.596,0.095,210,1.513,1,2014,10,Poco
1.200,34200,40.989,0.462,6470,1.513,6,2014,11,Poco
1.000,45600,43.381,0.667,13188,6.000,8,2014,12,Nada
1.000,22800,43.381,0.667,6594,1.600,4,2015,1,Poco
0.000,0,0.000,0.000,0,0.667,0,2015,2,Nada
1.000,5700,43.381,0.286,706,1.000,1,2015,3,Poco
1.000,5700,43.381,0.118,291,1.800,1,2015,4,Poco
1.000,11400,43.381,0.154,761,1.513,2,2015,5,Poco
1.000,5700,43.381,0.087,215,9.000,1,2015,6,Nada
1.000,5700,43.381,0.095,235,8.250,1,2015,7,Nada
0.000,0,0.000,0.000,0,7.500,0,2015,8,Nada
0.000,0,0.000,0.000,0,1.513,0,2015,9,Nada
1.000,5700,43.381,0.105,260,1.513,1,2015,10,Poco
1.000,5700,43.381,0.118,291,1.513,1,2015,11,Poco
1.250,28500,43.381,0.909,11240,1.513,5,2015,12,Poco
1.000,17100,43.381,2.000,14836,1.286,3,2016,1,Poco
1.000,22800,39.195,1.000,8936,0.000,4,2016,2,Medio
1.000,28500,37.799,0.909,9793,2.000,5,2016,3,Poco
1.000,22800,37.799,0.571,4925,0.750,4,2016,4,Medio
1.000,5700,37.799,0.061,131,2.538,1,2016,5,Poco
1.000,5700,37.799,0.047,100,6.600,1,2016,6,Nada
0.000,0,0.000,0.000,0,10.500,0,2016,7,Nada
1.000,11400,37.799,0.100,431,1.513,2,2016,8,Poco
1.000,11400,37.799,0.111,479,1.513,2,2016,9,Poco
