KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.091,108000,36.585,1.000,39512,1.513,24,2013,12,Poco
0.952,90000,36.025,6.667,216152,0.000,20,2014,1,Medio
1.045,103500,36.026,6.571,245026,0.383,23,2014,2,Medio
1.000,31500,36.026,1.167,13239,0.045,7,2014,3,Poco
1.136,112500,36.026,3.333,135097,0.660,25,2014,4,Medio
1.000,103500,38.288,0.902,35743,0.218,23,2014,5,Medio
1.023,202500,88.047,1.875,334304,2.564,45,2014,6,Poco
1.103,144000,48.826,1.730,121616,0.032,32,2014,7,Medio
1.125,162000,28.282,1.333,61088,1.080,36,2014,8,Poco
1.077,126000,28.282,1.514,53934,0.478,28,2014,9,Medio
1.000,139500,28.281,3.263,128739,0.594,31,2014,10,Medio
1.071,202500,28.282,2.727,156195,0.000,45,2014,11,Medio
1.073,265500,28.243,1.216,91219,0.952,59,2014,12,Medio
1.032,292500,28.219,0.760,62751,1.422,65,2015,1,Nada
1.113,355500,28.185,1.179,118144,1.899,79,2015,2,Poco
1.066,292500,28.185,4.815,396941,0.399,65,2015,3,Medio
1.133,153000,28.185,0.386,16661,1.414,34,2015,5,Poco
1.097,153000,28.185,0.493,21249,1.767,34,2015,6,Poco
1.000,162000,28.185,0.900,41094,1.357,36,2015,7,Poco
1.025,184500,28.281,2.000,104357,0.808,41,2015,8,Medio
1.121,166500,28.282,2.960,139383,0.351,37,2015,9,Medio
1.045,207000,28.282,2.875,168310,0.316,46,2015,10,Medio
1.089,274500,28.281,5.810,451006,0.484,61,2015,11,Medio
1.085,288000,23.233,32.000,2141128,0.021,64,2015,12,Medio
1.134,495000,20.203,73.333,7333796,0.053,110,2016,1,Mucho
1.088,279000,20.204,2.696,151949,0.000,62,2016,2,Medio
1.167,346500,20.204,3.348,234366,0.585,77,2016,3,Medio
1.094,261000,20.204,3.515,185360,0.290,58,2016,5,Medio
1.102,243000,20.204,6.000,294569,0.247,54,2016,6,Medio
1.333,360000,20.204,10.000,727333,0.057,80,2016,7,Medio
1.063,229500,20.203,2.914,135127,0.203,51,2016,8,Medio
1.164,288000,20.203,3.765,219052,0.357,64,2016,9,Medio
