KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.661,744000,21.818,2.952,479252,1.466,93,2013,12,Poco
1.789,570500,21.681,1.545,191159,0.331,68,2014,1,Medio
2.458,1003000,21.818,2.185,478198,0.819,118,2014,2,Medio
2.667,1156000,21.818,2.615,659648,0.430,136,2014,3,Medio
2.558,1130500,21.818,2.313,570523,0.596,133,2014,4,Medio
2.871,1513000,21.818,2.312,763109,0.395,178,2014,5,Mucho
2.636,739500,21.818,1.030,166119,0.691,87,2014,6,Medio
3.175,1143000,22.810,1.451,378414,0.497,127,2014,7,Medio
1.935,801000,21.818,0.852,148842,0.834,89,2014,8,Medio
1.612,711000,21.818,0.924,143334,0.990,79,2014,9,Medio
1.435,801000,21.818,1.575,275291,0.722,89,2014,10,Medio
1.674,648000,21.818,1.371,193895,0.490,72,2014,11,Medio
1.556,504000,21.818,0.747,82106,0.788,56,2014,12,Medio
1.640,369000,21.818,0.536,43149,1.203,41,2015,1,Poco
3.081,1026000,21.818,1.932,432533,1.172,114,2015,2,Medio
2.462,864000,21.818,1.391,262274,0.739,96,2015,3,Medio
3.344,995000,22.290,1.223,271207,1.028,107,2015,4,Medio
2.194,646000,21.818,0.971,136918,0.842,68,2015,5,Medio
2.594,788500,21.818,1.395,239983,0.565,83,2015,6,Medio
4.390,1710000,21.818,5.294,1975187,0.791,180,2015,7,Mucho
7.722,1320500,21.818,1.589,457682,0.791,139,2015,9,Medio
4.048,807500,21.818,1.056,186030,0.494,85,2015,10,Medio
4.400,627000,21.818,0.825,112860,0.759,66,2015,11,Medio
2.238,446500,21.818,0.686,66842,0.745,47,2015,12,Medio
4.882,788500,18.996,1.137,170300,0.985,83,2016,1,Medio
3.769,931000,17.225,1.188,190493,1.240,98,2016,2,Poco
6.077,768000,19.111,1.053,154601,1.105,79,2016,3,Poco
2.955,650000,21.364,1.024,142144,0.762,65,2016,4,Medio
3.870,890000,21.364,1.575,299507,0.756,89,2016,5,Medio
4.353,740000,21.364,2.242,354507,0.670,74,2016,6,Medio
3.643,510000,21.364,1.325,144329,0.184,51,2016,7,Medio
1.000,70000,21.364,0.100,1495,0.883,7,2016,8,Medio
1.000,60000,21.364,0.081,1039,1.750,6,2016,9,Poco
