KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.353,126500,31.602,6.571,262701,1.909,23,2013,12,Medio
1.136,137500,31.602,1.852,80467,0.667,25,2014,2,Medio
1.115,159500,30.228,2.762,133163,0.506,29,2014,3,Medio
1.063,187000,29.514,3.778,208497,0.289,34,2014,4,Medio
1.160,159500,28.139,2.148,96411,0.341,29,2014,5,Medio
1.000,110000,28.139,1.905,58957,0.554,20,2014,6,Medio
1.000,71500,28.139,1.368,27531,0.145,13,2014,7,Medio
1.111,110000,28.139,1.818,56277,0.726,20,2014,8,Medio
1.043,132000,28.139,3.429,127347,0.396,24,2014,9,Medio
1.000,110000,28.139,1.667,51587,0.368,20,2014,10,Medio
1.000,143000,28.139,2.600,104619,0.797,26,2014,11,Medio
1.107,170500,28.139,5.636,270411,0.129,31,2014,12,Medio
1.227,148500,28.139,2.160,90257,0.312,27,2015,1,Medio
1.031,181500,28.139,2.129,108733,0.607,33,2015,2,Medio
1.120,154000,28.139,2.333,101111,0.462,28,2015,3,Medio
1.027,209000,28.139,2.533,148984,0.341,38,2015,4,Mucho
1.032,176000,28.139,2.000,99048,0.606,32,2015,5,Medio
1.233,203500,28.139,4.353,249258,0.367,37,2015,6,Mucho
1.192,170500,28.139,6.889,330503,0.140,31,2015,7,Medio
1.125,99000,30.736,2.769,84264,0.120,18,2015,8,Medio
1.056,104500,33.333,1.310,45644,0.314,19,2015,9,Medio
1.000,159500,33.333,1.657,88105,0.882,29,2015,10,Medio
1.125,247500,33.333,4.286,353571,0.682,45,2015,11,Mucho
1.071,165000,33.333,10.000,550000,0.194,30,2015,12,Medio
1.038,148500,33.333,3.600,178200,0.000,27,2016,1,Mucho
1.077,154000,33.333,2.154,110564,0.441,28,2016,2,Medio
1.152,209000,33.333,3.800,264733,0.388,38,2016,3,Mucho
1.045,126500,32.769,2.421,100358,0.290,23,2016,4,Medio
1.053,220000,29.004,5.000,319048,0.337,40,2016,5,Mucho
1.036,159500,28.527,3.053,138895,0.178,29,2016,6,Medio
1.094,192500,27.273,2.692,141346,0.424,35,2016,7,Medio
1.037,154000,24.181,2.545,94788,0.375,28,2016,8,Medio
1.107,170500,23.810,3.647,148053,0.293,31,2016,9,Mucho
