KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
0.917,44000,27.273,0.957,11478,5.667,11,2013,12,Nada
1.000,56000,27.841,0.737,11488,0.900,14,2014,1,Medio
1.000,92000,27.866,0.568,14559,2.824,23,2014,2,Poco
1.125,36000,27.273,0.202,1986,3.063,9,2014,3,Nada
1.000,44000,27.273,0.319,3826,2.609,11,2014,4,Poco
0.952,80000,28.068,0.513,11515,2.023,20,2014,5,Nada
1.000,108000,28.409,0.761,23335,3.675,27,2014,6,Nada
1.442,300000,26.439,1.515,120179,1.138,75,2014,7,Medio
1.364,300000,27.273,1.163,95137,1.893,75,2014,8,Medio
0.981,208000,27.273,1.268,71947,0.881,52,2014,9,Medio
1.225,196000,27.273,1.922,102717,0.446,49,2014,10,Medio
1.000,180000,27.273,1.579,77512,0.358,45,2014,11,Medio
1.032,128000,27.273,0.800,27927,0.740,32,2014,12,Medio
1.022,188000,27.273,1.160,59502,1.048,47,2015,1,Poco
1.097,136000,27.273,0.756,28024,0.895,34,2015,2,Medio
1.333,208000,27.273,1.405,79725,1.407,52,2015,3,Poco
1.568,232000,27.312,1.381,87502,0.474,58,2015,4,Medio
1.448,168000,28.409,1.000,47727,1.313,42,2015,5,Poco
1.538,160000,27.784,1.290,57361,0.414,40,2015,6,Medio
1.083,104000,27.753,0.684,19749,0.879,26,2015,7,Medio
1.116,192000,27.273,0.923,48336,0.972,48,2015,8,Medio
1.361,196000,27.273,0.705,37687,1.816,49,2015,9,Poco
1.364,219000,36.040,0.667,52618,1.707,45,2015,10,Poco
1.600,160000,26.545,0.653,27737,1.373,32,2015,11,Poco
1.571,330000,27.537,2.200,199920,0.786,66,2015,12,Mucho
1.679,235000,26.870,1.382,87289,0.566,47,2016,1,Medio
1.633,245000,26.545,1.054,68533,0.848,49,2016,2,Medio
1.394,230000,26.545,1.045,63830,0.963,46,2016,3,Medio
1.759,255000,27.080,1.397,96487,0.761,51,2016,4,Medio
1.739,200000,26.982,0.952,51394,0.760,40,2016,5,Medio
1.696,195000,26.545,0.839,43415,1.029,39,2016,6,Poco
1.600,280000,26.545,1.302,96798,1.062,56,2016,7,Medio
1.500,180000,26.545,0.857,40956,0.889,36,2016,8,Medio
1.087,125000,26.545,0.794,26335,1.008,25,2016,9,Poco
