KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.126,1856000,22.442,7.030,2928313,1.283,232,2013,12,Poco
1.152,1661500,22.191,4.141,1526939,0.057,205,2014,1,Medio
1.155,1394000,21.925,1.822,556937,0.480,164,2014,2,Medio
1.222,1122000,21.925,1.610,396000,0.439,132,2014,3,Medio
1.098,1139000,21.925,1.696,423588,0.455,134,2014,4,Medio
1.337,1011500,21.925,1.442,319890,0.572,119,2014,5,Medio
1.179,1062500,21.925,1.908,444570,0.647,125,2014,6,Medio
1.105,892500,21.925,1.892,370209,0.381,105,2014,7,Medio
1.064,1022500,21.042,1.785,383968,0.542,116,2014,8,Medio
1.152,954000,21.919,1.981,414310,0.581,106,2014,9,Medio
1.290,1683000,21.919,4.022,1483533,0.367,187,2014,10,Medio
1.263,1296000,21.919,3.130,889271,0.389,144,2014,11,Medio
1.164,1278000,21.919,1.821,509975,0.268,142,2014,12,Medio
1.252,1386000,21.919,2.053,623803,0.742,154,2015,1,Medio
1.198,1197000,21.919,2.860,750442,0.225,133,2015,2,Medio
1.260,1179000,21.919,1.758,454416,0.420,131,2015,3,Medio
1.443,1026000,21.081,1.481,320223,0.639,114,2015,4,Medio
1.253,891000,17.576,1.404,219906,0.516,99,2015,5,Medio
1.247,846500,20.253,1.205,206643,0.663,91,2015,6,Medio
1.136,950000,21.914,2.000,416364,0.740,100,2015,7,Medio
1.224,988000,21.914,2.122,459529,0.259,104,2015,8,Medio
1.253,893000,21.914,1.324,259084,0.742,94,2015,9,Medio
1.484,1311000,21.914,2.300,660769,0.695,138,2015,10,Medio
1.373,1330000,21.914,2.718,792304,0.455,140,2015,11,Medio
1.281,1947500,21.914,2.950,1258826,0.419,205,2015,12,Medio
1.215,1662500,21.179,2.083,733542,0.540,175,2016,1,Medio
1.360,1472500,17.321,2.263,577110,0.467,155,2016,2,Medio
1.598,1396500,17.321,3.128,756524,0.314,147,2016,3,Medio
1.461,1596000,17.321,3.574,988113,0.239,168,2016,4,Medio
1.758,2555500,17.321,3.736,1653705,0.357,269,2016,5,Mucho
1.650,2341000,20.817,4.177,2035562,0.452,236,2016,6,Medio
1.927,3720000,21.455,8.455,6747650,0.111,372,2016,7,Mucho
1.656,2600000,21.455,4.000,2231273,0.216,260,2016,8,Medio
1.667,2500000,21.455,4.587,2460384,0.232,250,2016,9,Medio
