KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.000,5000,36.236,0.222,403,1.800,1,2013,12,Poco
1.000,15000,36.236,0.667,3624,3.000,3,2014,1,Poco
1.000,5000,36.236,0.400,725,1.000,1,2014,2,Poco
1.000,5000,36.236,0.667,1208,1.200,1,2014,3,Poco
1.000,5000,36.236,0.333,604,0.600,1,2014,4,Medio
1.000,10000,36.236,0.500,1812,1.513,2,2014,5,Poco
1.000,5000,36.309,0.222,403,2.250,1,2014,6,Poco
1.000,30000,36.309,1.091,11883,4.500,6,2014,7,Nada
1.000,15000,36.309,0.400,2179,1.667,3,2014,8,Poco
1.000,10000,36.309,0.211,764,3.000,2,2014,9,Poco
1.000,5000,36.309,0.118,214,2.455,1,2014,10,Poco
1.000,5000,36.309,0.105,191,4.000,1,2014,11,Nada
1.000,15000,36.309,0.240,1307,8.250,3,2014,12,Nada
1.364,75000,36.309,1.765,48056,8.400,15,2015,1,Poco
1.000,15000,36.309,0.750,4085,0.474,3,2015,2,Medio
1.000,15000,36.309,0.857,4668,0.714,3,2015,3,Medio
1.000,5000,36.309,0.667,1210,0.286,1,2015,4,Medio
0.000,0,0.000,0.000,0,0.429,0,2015,5,Nada
0.000,0,0.000,0.000,0,0.750,0,2015,6,Nada
0.000,0,0.000,0.000,0,1.513,0,2015,7,Nada
1.000,10000,36.309,4.000,14524,1.513,2,2015,8,Poco
1.000,15000,20.255,0.857,2604,1.513,3,2015,9,Poco
1.000,25000,20.255,1.111,5626,4.200,5,2015,10,Nada
0.000,0,0.000,0.000,0,0.600,0,2015,11,Nada
1.000,40000,20.255,1.455,11784,2.625,8,2015,12,Poco
1.167,35000,19.766,1.750,12107,0.923,7,2016,1,Medio
1.000,25000,16.836,1.250,5261,0.800,5,2016,2,Medio
1.000,15000,16.836,0.600,1515,0.600,3,2016,3,Poco
1.000,10000,16.836,0.400,673,1.200,2,2016,4,Nada
1.500,15000,16.836,0.600,1515,1.200,3,2016,5,Nada
1.000,15000,16.836,0.667,1684,2.250,3,2016,6,Nada
1.000,15000,16.836,2.000,5051,1.125,3,2016,7,Nada
1.000,30000,16.836,2.000,10102,0.000,6,2016,8,Medio
1.500,30000,16.836,1.000,5051,1.500,6,2016,9,Poco
